Brand (top influencer),Number of social media actions per post
Valentino (Demi Lovato),1385467
Tory Burch (Shay Mitchell),134751
Tod's (Naomi Campbell),40647
Tiffany & Co. (Reese Witherspoon),77643
Salvatore Ferragamo (Nina Dobrev),601316
Saint Laurent (J Balvin),181475
Prada (Chiara Ferragni),116169
Michael Kors (Blake Lively),759670
Louis Vuitton (Kevin Ma),26689
Hugo Boss (Mariano Di Vaio),91041
Hermes (Xenia Tchoumi),27692
Gucci (Nina Dobrev),458444
Givenchy (Nicki Minaj),629753
Fendi (Gigi Hadid),653272
Dolce & Gabbana (Cameron Dallas),742342
Dior (Rihanna),629179
Chanel (Cara Delevigne),662894
Celine (Kim Kardashian),1182087
Cartier (Nikkie Tutorials),290287
Burberry (Dove Cameron),447287
Bulgari (Bella Hadid),591423
Bottega Veneta (Kris Jenner),102457
Balenciaga (Nicki Minaj),341862
Average,442341
