State,Number of murder victims
California,1739
Texas,1322
Florida,1107
Illinois,884
Pennsylvania,784
Georgia,642
North Carolina,628
Missouri,607
Ohio,564
New York,562
Michigan,551
Louisiana,530
Tennessee,498
Maryland,490
Indiana,438
South Carolina,392
Virginia,391
Alabama,383
Arizona,369
New Jersey,286
Kentucky,244
Washington,236
Arkansas,216
Colorado,210
Oklahoma,206
Nevada,202
Wisconsin,176
Mississippi,171
New Mexico,167
District of Columbia,160
Massachusetts,136
Kansas,113
Minnesota,106
Connecticut,83
Oregon,82
West Virginia,67
Utah,60
Iowa,54
Delaware,48
Alaska,47
Nebraska,44
Hawaii,36
Idaho,35
Montana,34
Maine,24
New Hampshire,21
North Dakota,18
Rhode Island,16
Wyoming,13
South Dakota,12
Vermont,10
