"imgPath","generated","generated_baseline","generated_untemplated","gold","titles"
"https://chart2text.s3.amazonaws.com/435.png","This statistic shows the Market share of provider share Vietnam fourth worldwide in 2013 . VNPT , a company headquartered in the Netherlands , led the ranking in 2013 , with a Market share of 56.6 % .","This bar chart has 4 categories for the x axis representing Company, and a y axis representing Market share. The highest category is found at VNPT where Market share is 56.6. The lowest category is found at Others where Market share is 6.6.","This statistic illustrates the market share of leading of leading payment card manufacturers worldwide in 2016 . gemalto , a company headquartered in the Netherlands , led the ranking in 2016 , with a market share of 15.6 percent .","The statistic depicts a breakdown of the internet service provider ( ISP ) market in Vietnam in the fourth quarter of 2013 . The internet service provider VNPT held a market share of 56.6 percent . The total number of internet service subscribers in Vietnam was at around 5.1 million in the fourth quarter of 2013 .","Internet service provider market share in Vietnam fourth quarter 2013"
"https://chart2text.s3.amazonaws.com/800.png","The UnitedStates was the leading exporter of earning worldwide in 2018 . In that time period , the U.S. earning industry had an export volume of 28.07 million metric tons . earning products earning is one of the most versatile and widely used materials .","This bar chart has 10 categories for the x axis representing Country, and a y axis representing Prize money in million U.S. dollars. The highest category is found at UnitedStates where Prize money in million U.S. dollars is 28.07. The lowest category is found at Germany where Prize money in million U.S. dollars is 4.16.","This graph shows the top 10 professional producing countries worldwide as of 2017 . In that year , the united states government had a total of 15.349 million metric tons . cotton production in the world cotton is a natural plant fiber which grows around the seed of the cotton plant .","The graph shows the highest earning eSports countries worldwide in 2018 , ranked by prize money won . According to the estimates , Chinese eSports gamers brought home over 16 million U.S. dollars of winnings from eSports competitions in 2018 . The U.S ranked first with 28 million U.S dollars in prize money won .","Highest earning eSports countries in 2018 , by prize winnings"
"https://chart2text.s3.amazonaws.com/547.png","The U.S. State with the highest Number of active in 2019 was California with 112906 million head of chicken . The U.S. is also the second leading producer of eggs worldwide . Egg industry The global production volume of eggs reached 80 million metric tons in 2017 , up from 55.1 million metric tons in 2000 .","This bar chart has 10 categories for the x axis representing State, and a y axis representing Number of specialist physicians. The highest category is found at California where Number of specialist physicians is 112906.0. The lowest category is found at NewJersey where Number of specialist physicians is 30502.0.","The u.s. state with the highest number of laying hens in 2018 was iowa with 57.43 million head of chicken . The united is also the second leading producer of eggs worldwide . Egg industry The global production volume of eggs reached 80 million metric tons in 2017 , up from 55.1 million metric tons in 2000 .","The states with the most active physicians include California , New York , Texas , and Florida . California currently has the most active physicians of any U.S. state , with around 112,906 physicians . In California , the specialty areas with the most physicians are psychiatry , anesthesiology , and emergency medicine .","Leading U.S. states based on the total number of active physicians 2019"
"https://chart2text.s3.amazonaws.com/726.png","In the fourth Quarter of 2019 , the Q4 Q3 's total Revenue was 345.29 million U.S. dollars . The Match.com Q4 Q3 belongs to IAC and includes online dating platforms such as the eponymous Match.com , Tinder OkCupid , Tinder PlentyofFish and others .","This bar chart has 28 categories for the x axis representing Quarter, and a y axis representing Revenue in million U.S. dollars. The highest category is found at Q3'19 where Revenue in million U.S. dollars is 345.29. The lowest category is found at Q2'14 where Revenue in million U.S. dollars is 153.23.","This statistic shows mobile 's revenue as of third quarter of 2019 . During that quarter , the C2C e-commerce company generated almost 270 million u.s. dollars in revenues , up from nearly 198 million u.s. dollars in the previous quarter .","This statistic contains data on the global revenue of Zynga from the fourth quarter of 2012 to the third quarter of 2019 . In the third quarter of 2019 , the social gaming company generated a total revenue of 345.29 million U.S. dollars .","Zynga 's quarterly revenue from Q4 2012- Q3 2019"
"https://chart2text.s3.amazonaws.com/1115.png","This statistic shows the 20 Pharmaceutical sector the growth percentage 2030 in 2017 . In India , the Growth increased by about 230 percentage to the percentage , making it the Country sector the growth percentage 2030 in 2017 . The global Growth Today , the global Growth amounts to around 7 percentage people , i.e .","This bar chart has 20 categories for the x axis representing Country, and a y axis representing Growth in percentage. The highest category is found at India where Growth in percentage is 232.0. The lowest category is found at Japan where Growth in percentage is 117.0.","This statistic shows the 20 countries with the highest employment in the travel and tourism industry worldwide in 2013 . According to the World travel & tourism Council , around 5.44 million people were employed in the U.S. travel and tourism industry .","This statistic shows the worldwide forecast of pharmaceutical sector growth between 2017 and 2030 , sorted by select country . The forecast predicts that between 2017 and 2030 the pharmaceutical sector worldwide will grow by 160 percent , with the biggest growth forecast given for India with 232 percent .","Pharmaceutical sector growth worldwide 2017 - 2030 , by country"
"https://chart2text.s3.amazonaws.com/1020.png","This statistic shows the results of a survey conducted rights the Hearth , Patio & Barbecue Association ( HPBA ) in and 2018 . During the survey , U.S. consumers were asked about which types of grills they owned . Approximately 63 % of the respondents indicated adoption of a Yesshould .","This bar chart has 3 categories for the x axis representing Response, and a y axis representing Share of respondents. The highest category is found at Yesshould where Share of respondents is 63.0. The lowest category is found at Noopinion where Share of respondents is 2.0.","This statistic shows the results of a survey conducted by the Hearth , Patio & Barbecue Association ( HPBA ) in and 2018 . During the survey , u.s. consumers were asked about which types of grills they owned . Approximately 64 percent of the respondents indicated ownership of a gas grill .","This statistic shows the results of a survey , conducted by Gallup in the United States in May 2014 , on adoption rights for gay and lesbian couples . During this survey , 63 percent of the respondents were in favor of adoption rights for gay and lesbian couples in the United States .","Public opinion on adoption rights for same-sex couples in the U.S. 2014"
"https://chart2text.s3.amazonaws.com/303.png","The statistic shows the Medals of the Summer of Summer Olympics in countries around the world in 1896 . UnitedStates was the Country with the strongest suppression of Summer Olympics with an Medals value of 2520 . The Medals ranges from 0 ( complete freedom ) to 100 ( total suppression ) .","This bar chart has 50 categories for the x axis representing Country, and a y axis representing Medals won (gold, silver, bronze). The highest category is found at UnitedStates where Medals won (gold, silver, bronze) is 2520.0. The lowest category is found at Indonesia where Medals won (gold, silver, bronze) is 30.0.","This statistic shows the country ranking of the 2019 social progress index . Leading the ranking was norway with a total index score of 90.95.The social progress index measures the extent of which countries provide for the social and environmental needs of their citizens . The index consists of 52 indicators in total .","The United States is the most successful nation of all time at the Summer Olympic Games , having amassed a total of 2,520 medals since the first Olympics in 1896 . Team USA gets the gold medalOf the 2,520 medals won by Team USA over the years , over one thousand have been gold . The dominance of the United States can be shown in the fact that only two other nations , Russia and Germany , have reached a combined medal tally of 1,000 .","All-time Summer Olympics medals table 1896 to 2016"
"https://chart2text.s3.amazonaws.com/638.png","This statistic illustrates the Export volume of Global pork in exports 2020 by in 2020 . That year , UnitedStates accounted for some 3221 thousand of the world 's exports 2020 by and was ranked second . exports 2020 by Country In 2020 , EU topped the ranking of the largest exports 2020 producing pork worldwide .","This bar chart has 7 categories for the x axis representing Country, and a y axis representing Export volume in thousand metric tons. The highest category is found at EU where Export volume in thousand metric tons is 3900.0. The lowest category is found at China where Export volume in thousand metric tons is 100.0.","This statistic provides a projection of the engineering , procurement , and construction ( epc ) market value at the end of 2019 , broken down by world region . by the end of that year , western europe 's epc market is expected to reach a value of 1.62 trillion u.s. dollars .","This statistic depicts the forecast export volume of pork worldwide in 2020 , by leading country . The estimated pork exports of the United States were amounted to approximately 3.22 million metric tons in 2020 .","Global pork exports 2020 , by country"
"https://chart2text.s3.amazonaws.com/615.png","This statistic shows the Global sulfur the production by of country 2019 in . That year , India had an index Price of around 17400 and was tied in first sulfur nine other Global . Global sulfur the production by of country 2019 – additional informationIn today 's culture , many people can not imagine life without country .","This bar chart has 23 categories for the x axis representing Country, and a y axis representing Price in U.S. dollars per ton. The highest category is found at China where Price in U.S. dollars per ton is 17400.0. The lowest category is found at Brazil where Price in U.S. dollars per ton is 500.0.","This statistic shows the countries with the highest quality of electricity supply in 2019 . That year , luxembourg had an index score of around 100 and was tied in first with nine other countries . countries with the highest quality of electricity supply – additional informationIn today 's culture , many people can not imagine life without electricity .","In 2019 , China produced around 17.4 megatons of sulfur , which makes China the world 's leading sulfur producer . China 's sulfur production includes byproduct elemental sulfur recovered from natural gas and petroleum , the estimated sulfur content of byproduct sulfuric acid from metallurgy , and the sulfur content of sulfuric acid from pyrite .","Global sulfur production by country 2019"
"https://chart2text.s3.amazonaws.com/725.png","The statistic shows the percentage of U.S. automobiles in the automobiles in 2017 , by State . In 2017 , about 8176879 % of Texas 's automobiles was of U.S. origin . The distribution of the automobiles by ethnicity can be accessed here .","This bar chart has 51 categories for the x axis representing State, and a y axis representing Number of registered automobiles. The highest category is found at California where Number of registered automobiles is 14860967.0. The lowest category is found at Alaska where Number of registered automobiles is 173487.0.","This graph shows the real gross domestic product ( gdp ) of the united in Q3 2019 , by state . In the third quarter of 2019 , the state of california added about 2.79 trillion chained ( 2012 ) u.s. dollars of value to the u.s. real gdp . Total real gdp amounted to about 19.12 trillion chained ( 2012 ) u.s. dollars .","California had the most automobile registrations in 2017 : More than 14.86 million such vehicles were registered in the most populous U.S. federal state . California also leads in terms of annual car sales with almost one million cars sold in 2017 . Additionally , California residents also purchased about 715,000 crossover and sport-utility vehicles ( CUVs and SUVs ) , some 221,270 pickups , and almost 80,000 vans and minivans in 2017 .","Total number of registered automobiles in the U.S. by state 2017"
