id,dataPath,caption,chartType,xAxis,yAxis,URL
1,/content/gdrive/My Drive/Pew3/1.csv,"The average audience for the evening newscasts for ABC, CBS and NBC remained relatively stable in 2018, with 5.3 million viewers tuning in on average, compared with 5.2 million in 2017, according to Comscore TV Essentials® data. (Average audience is defined as the average number of TVs tuned to a program throughout a time period.)",line,year,evening news audience,"Link(url='https://www.journalism.org/fact-sheet/network-news/', text='Network News Fact Sheet', fragment='', nofollow=False)"
2,/content/gdrive/My Drive/Pew3/2.csv,Previous versions of this fact sheet included audience data stretching back to 2008. That data is available in the archived 2017 fact sheet.,line,year,evening news audience,"Link(url='https://www.journalism.org/fact-sheet/network-news/', text='Network News Fact Sheet', fragment='', nofollow=False)"
3,/content/gdrive/My Drive/Pew3/3.csv,"Average audience for morning news programs from ABC, CBS and NBC declined over the past year, down 4% in 2018, to about 3.2 million from 3.3 million.",line,year,morning news audience,"Link(url='https://www.journalism.org/fact-sheet/network-news/', text='Network News Fact Sheet', fragment='', nofollow=False)"
4,/content/gdrive/My Drive/Pew3/4.csv,"Average audience for the network TV Sunday morning political talk shows on ABC, CBS, Fox and NBC – This Week, Face the Nation, Fox News Sunday and Meet the Press, respectively – declined 8% in 2018, to about 2.3 million average viewers.",line,year,morning news audience,"Link(url='https://www.journalism.org/fact-sheet/network-news/', text='Network News Fact Sheet', fragment='', nofollow=False)"
5,/content/gdrive/My Drive/Pew3/5.csv,"Average audience for the network TV Sunday morning political talk shows on ABC, CBS, Fox and NBC – This Week, Face the Nation, Fox News Sunday and Meet the Press, respectively – declined 8% in 2018, to about 2.3 million average viewers.",line,year,sunday morning political talk show audience,"Link(url='https://www.journalism.org/fact-sheet/network-news/', text='Network News Fact Sheet', fragment='', nofollow=False)"
6,/content/gdrive/My Drive/Pew3/6.csv,"The average audience for the four newsmagazine shows aired by the networks – ABC’s 20/20, CBS’s 60 Minutes and 48 Hours, and NBC’s Dateline – declined in 2018, down 8% from 2017.",line,year,sunday morning political talk show audience,"Link(url='https://www.journalism.org/fact-sheet/network-news/', text='Network News Fact Sheet', fragment='', nofollow=False)"
7,/content/gdrive/My Drive/Pew3/7.csv,"The average audience for the four newsmagazine shows aired by the networks – ABC’s 20/20, CBS’s 60 Minutes and 48 Hours, and NBC’s Dateline – declined in 2018, down 8% from 2017.",line,year,newsmagazine audience,"Link(url='https://www.journalism.org/fact-sheet/network-news/', text='Network News Fact Sheet', fragment='', nofollow=False)"
8,/content/gdrive/My Drive/Pew3/8.csv,"Combined advertiser expenditures for the evening broadcast news programs, ABC’s World News Tonight, CBS Evening News and NBC Nightly News, were $518 million in 2018, a decline of 6% compared with 2017, according to estimates from Kantar Media. (This data reflects the amount of money paid by advertisers, rather than the amount of revenue actually earned by networks.)",line,year,newsmagazine audience,"Link(url='https://www.journalism.org/fact-sheet/network-news/', text='Network News Fact Sheet', fragment='', nofollow=False)"
9,/content/gdrive/My Drive/Pew3/9.csv,"Combined advertiser expenditures for the evening broadcast news programs, ABC’s World News Tonight, CBS Evening News and NBC Nightly News, were $518 million in 2018, a decline of 6% compared with 2017, according to estimates from Kantar Media. (This data reflects the amount of money paid by advertisers, rather than the amount of revenue actually earned by networks.)",line,year,average expenditure,"Link(url='https://www.journalism.org/fact-sheet/network-news/', text='Network News Fact Sheet', fragment='', nofollow=False)"
10,/content/gdrive/My Drive/Pew3/10.csv,"The three networks’ advertiser expenditures for the morning news programs saw a slight increase in 2018, increasing 3% to $1.13 billion from $1.09 billion.",line,year,average expenditure,"Link(url='https://www.journalism.org/fact-sheet/network-news/', text='Network News Fact Sheet', fragment='', nofollow=False)"
11,/content/gdrive/My Drive/Pew3/11.csv,"The three networks’ advertiser expenditures for the morning news programs saw a slight increase in 2018, increasing 3% to $1.13 billion from $1.09 billion.",line,year,average expenditure,"Link(url='https://www.journalism.org/fact-sheet/network-news/', text='Network News Fact Sheet', fragment='', nofollow=False)"
12,/content/gdrive/My Drive/Pew3/12.csv,This fact sheet was compiled by Associate Director Katerina Eva Matsa and Research Assistant Mason Walker.,line,year,average expenditure,"Link(url='https://www.journalism.org/fact-sheet/network-news/', text='Network News Fact Sheet', fragment='', nofollow=False)"
13,/content/gdrive/My Drive/Pew3/13.csv,"A growing share of Americans now use smartphones as their primary means of online access at home. Today roughly one-in-five American adults are “smartphone-only” internet users – meaning they own a smartphone, but do not have traditional home broadband service.",bar,unnamed: 0,u.s. adults,"Link(url='https://www.pewresearch.org/internet/fact-sheet/mobile/', text='Mobile Fact Sheet', fragment='', nofollow=False)"
14,/content/gdrive/My Drive/Pew3/14.csv,"Reliance on smartphones for online access is especially common among younger adults, non-whites and lower-income Americans.",bar,unnamed: 0,u.s. adults,"Link(url='https://www.pewresearch.org/internet/fact-sheet/mobile/', text='Mobile Fact Sheet', fragment='', nofollow=False)"
