Year,Male,Female
2028-29*,335.0,502.0
2027-28*,335.0,501.0
2026-27*,334.0,500.0
2025-26*,333.0,498.0
2024-25*,332.0,497.0
2023-24*,331.0,495.0
2022-23*,330.0,493.0
2021-22*,330.0,492.0
2020-21*,329.0,491.0
2019-20*,329.0,491.0
2018-19*,328.0,489.0
2017-18*,327.0,487.0
2016-17,326.89,477.79
2015-16,320.57,465.18
2014-15,306.62,452.19
2013-14,302.85,451.74
2012-13,301.55,450.17
2011-12,302.48,453.48
2010-11,291.68,439.24
2009-10,275.32,418.0
2008-09,263.52,398.57
2007-08,250.2,380.64
2006-07,242.21,368.49
2005-06,241.7,358.16
2004-05,237.16,343.0
2003-04,233.06,331.22
2002-03,215.17,303.53
2001-02,202.6,284.71
2000-01,197.77,275.73
1999-00,196.13,267.06
1998-99,190.23,255.81
1997-98,188.72,247.32
1996-97,185.27,239.99
1995-96,183.48,228.7
1994-95,183.04,220.57
1993-94,180.57,212.47
1992-93,173.35,201.68
1991-92,165.87,192.22
1990-91,160.84,182.02
1989-90,158.05,172.1
1988-89,153.99,162.63
1987-88,150.24,155.54
1986-87,147.06,149.47
1985-86,149.37,146.48
1984-85,149.28,144.2
1983-84,149.27,141.87
1982-83,150.09,146.32
1981-82,151.35,151.1
1980-81,152.98,149.66
1979-80,156.88,148.31
1978-79,159.11,148.58
1977-78,166.86,151.13
1976-77,173.09,149.94
1975-76,172.52,144.96
1974-75,166.32,131.23
1973-74,162.61,119.47
1972-73,159.57,109.09
1971-72,155.01,102.19
1970-71,143.08,92.48
1969-70,130.8,82.79
1959-60,50.9,23.54
1949-50,41.22,16.96
