Year,Male,Female
2028-29*,87.0,102.0
2027-28*,87.0,101.0
2026-27*,87.0,101.0
2025-26*,86.0,101.0
2024-25*,86.0,101.0
2023-24*,86.0,100.0
2022-23*,85.0,100.0
2021-22*,85.0,100.0
2020-21*,85.0,99.0
2019-20*,85.0,99.0
2018-19*,85.0,99.0
2017-18*,85.0,99.0
2016-17,84.65,96.71
2015-16,84.24,93.89
2014-15,84.92,93.63
2013-14,85.59,92.0
2012-13,85.08,89.95
2011-12,82.67,87.55
2010-11,79.67,84.16
2009-10,76.61,81.98
2008-09,75.67,78.89
2007-08,73.34,75.85
2006-07,71.31,73.38
2005-06,68.91,69.14
2004-05,67.26,67.13
2003-04,63.98,62.11
2002-03,62.73,58.85
2001-02,62.73,56.93
2000-01,64.17,55.41
1999-00,64.93,53.81
1998-99,65.34,51.36
1997-98,67.23,51.5
1996-97,68.39,50.36
1995-96,67.19,48.32
1994-95,67.32,46.94
1993-94,66.77,45.86
1992-93,67.13,44.94
1991-92,66.6,42.95
1990-91,64.24,41.31
1989-90,63.96,39.55
1988-89,63.06,37.52
1987-88,63.02,36.12
1986-87,62.79,35.69
1985-86,65.22,35.07
1984-85,66.27,34.52
1983-84,67.77,33.03
1982-83,67.76,31.58
1981-82,68.63,29.21
1980-81,69.57,28.45
1979-80,69.53,26.11
1978-79,70.45,24.52
1977-78,70.28,22.06
1976-77,72.21,19.52
1975-76,73.89,17.12
1974-75,71.03,13.88
1973-74,71.13,11.46
1972-73,69.96,9.55
1971-72,63.35,7.85
1970-71,58.14,6.86
1969-70,53.79,5.69
1959-60,8.8,1.03
1949-50,5.8,0.62
