Latest available time period in brackets,Male,Female
Finland (2009-10),386,336
United Kingdom (2005),382,339
Norway (2010),364,355
Germany (2001-02),351,326
Denmark (2001),340,320
Belgium (2005),350,307
Ireland (2005),341,290
Canada (2010),336,294
Estonia (2009-2010),345,278
Slovenia (2000-01),337,283
South Africa (2010),334,282
New Zealand (2009-10),306,295
Poland (2003-04),323,273
Netherlands (2005-06),301,290
United States (2014),320,271
France (2009),318,270
Sweden (2010),314,272
Spain (2009-10),310,273
Korea (2009),314,268
Australia (2006),297,269
Austria (2008-09),299,262
Hungary (1999-2000),303,255
Italy (2008),309,248
Turkey (2006),279,247
India (1999),283,221
Portugal (1999),289,200
Japan (2011),240,244
China (2008),248,211
Mexico (2009),236,206
