Country,Not a moral issue,Acceptable,Unacceptable
Indonesia,1%,1%,97%
Jordan,3%,1%,95%
Pakistan,2%,0%,94%
Palestinian ter.,4%,1%,94%
Turkey,2%,5%,91%
Egypt,6%,2%,90%
Tunisia,3%,4%,89%
Malaysia,5%,3%,87%
Ghana,4%,6%,86%
Lebanon,8%,5%,81%
Kenya,13%,4%,79%
Uganda,9%,9%,77%
Nigeria,13%,3%,77%
Philippines,7%,20%,71%
India,11%,10%,67%
Senegal,26%,6%,63%
China,17%,12%,58%
El Salvador,14%,22%,56%
Bolivia,11%,22%,53%
South Africa,17%,21%,48%
Mexico,21%,26%,44%
Israel,22%,36%,37%
South Korea,29%,27%,35%
Brazil,14%,47%,35%
Russia,10%,40%,30%
United States,36%,29%,30%
Poland,21%,44%,22%
Argentina,27%,45%,22%
Japan,26%,47%,21%
Venezuela,13%,61%,21%
Canada,47%,34%,15%
Australia,47%,34%,15%
Britain,44%,38%,13%
Chile,26%,54%,13%
Italy,41%,42%,11%
Greece,27%,59%,11%
Czech Republic,18%,67%,10%
Spain,39%,52%,8%
Germany,34%,57%,6%
France,47%,47%,6%
