Occupation,Women's earnings,Men's earnings
Total,789,973
Health care and social assistance,773,1070
Retail trade,606,746
Educational services,945,1128
Durable goods manufacturing,789,1005
Professional and technical services,1104,1550
Construction,862,870
Public administration,942,1155
Finance and insurance,923,1500
Accommodation and food services,510,598
Transportation and warehousing,737,897
Nondurable goods manufacturing,701,952
"Management, administrative, and waste services",628,694
"Other services, except private households",674,847
Wholesale trade,833,960
Information,993,1270
Real estate and rental and leasing,846,944
"Arts, entertainment, and recreation",663,790
Utilities,1086,1265
Agriculture and related industries,540,662
"Mining, quarrying, and oil and gas extraction",1174,1323
