Android platform version,Pie 9,Oreo 8.1,Oreo 8.0,Nougat 7.1,Nougat 7.0,Marshmallow 6.0,Lollipop 5.1,Lollipop 5.0,KitKat 4.4,Jelly Bean 4.3,Jelly Bean 4.2.x,Jelly Bean 4.1.x,Ice Cream Sandwich 4.0.3 - 4.0.4,Honeycomb 3.2,Gingerbread 2.3.3 - 2.3.7,Froyo 2.2
1H '19,10.4%,15.4%,12.9%,7.8%,11.4%,16.9%,11.5%,3%,6.9%,0.5%,1.5%,1.2%,0.3%,-,0.3%,-
2H '18,-,5.8%,13.4%,10.3%,19%,21.6%,14.7%,3.6%,7.8%,0.5%,1.6%,1.1%,0.3%,-,0.3%,-
1H '18,-,0.8%,4.9%,8.2%,22.9%,25.5%,17.6%,4.8%,10.3%,0.6%,2.2%,1.5%,0.4%,-,0.3%,-
2H '17,-,-,-,1.6%,14.2%,32.2%,21.7%,7.1%,15.1%,1%,3.5%,2.4%,0.6%,-,0.6%,-
1H '17,-,-,-,0.5%,6.6%,31.2%,23.3%,8.7%,18.8%,1.3%,4.6%,3.2%,0.8%,-,1%,-
2H '16,-,-,-,-,-,18.7%,21.9%,13.1%,27.7%,2.3%,7.7%,5.6%,1.4%,-,1.5%,0.1%
1H '16,-,-,-,-,-,7.5%,19.4%,16.2%,32.5%,2.9%,10%,7.2%,2%,-,2.2%,0.1%
2H '15,-,-,-,-,-,-,7.9%,15.6%,38.9%,4.3%,14.5%,11.4%,3.4%,-,3.8%,0.2%
1H '15,-,-,-,-,-,-,-,1.6%,39.7%,6.3%,19.8%,18.4%,6.4%,-,7.4%,0.4%
2H '14,-,-,-,-,-,-,-,-,24.5%,8%,20.7%,25.1%,9.6%,-,11.4%,0.7%
1H '14,-,-,-,-,-,-,-,-,13.6%,10.3%,19.1%,29%,12.3%,-,14.9%,0.8%
2013,-,-,-,-,-,-,-,-,-,-,-,48.6%,20.6%,0.1%,28.5%,2.2%
