Year,Male,Female
1940,5.5%,3.8%
1947,6.2%,4.7%
1950,7.3%,5.2%
1952,8.3%,5.8%
1957,9.6%,5.8%
1959,10.3%,6%
1962,11.4%,6.7%
1964,11.7%,6.8%
1965,12%,7.1%
1966,12.5%,7.4%
1967,12.8%,7.6%
1968,13.3%,8%
1969,13.6%,8.1%
1970,14.1%,8.2%
1971,14.6%,8.5%
1972,15.4%,9%
1973,16%,9.6%
1974,16.9%,10.1%
1975,17.6%,10.6%
1976,18.6%,11.3%
1977,19.2%,12%
1978,19.7%,12.2%
1979,20.4%,12.9%
1980,20.9%,13.6%
1981,21.1%,13.4%
1982,21.9%,14%
1983,23%,15.1%
1984,22.9%,15.7%
1985,23.1%,16%
1986,23.2%,16.1%
1987,23.6%,16.5%
1988,24%,17%
1989,24.5%,18.1%
1990,24.4%,18.4%
1991,24.3%,18.8%
1992,24.3%,18.6%
1993,24.8%,19.2%
1994,25.1%,19.6%
1995,26%,20.2%
1996,26%,21.4%
1997,26.2%,21.7%
1998,26.5%,22.4%
1999,27.5%,23.1%
2000,27.8%,23.6%
2001,28.2%,24.3%
2002,28.5%,25.1%
2003,28.9%,25.7%
2004,29.4%,26.1%
2005,28.9%,26.5%
2006,29.2%,26.9%
2007,29.5%,28%
2008,30.1%,28.8%
2009,30.1%,29.1%
2010,30.3%,29.6%
2011,30.8%,30.1%
2012,31.4%,30.6%
2013,32%,31.4%
2014,31.9%,32%
2015,32.3%,32.7%
2016,33.2%,33.7%
2017,33.7%,34.6%
2018,34.6%,35.3%
