Latest available time period in brackets,Male,Female
Finland (2009-10),37,30
Slovenia (2000-01),35,28
France (2009),37,24
Austria (2008-09),33,27
Italy (2008),34,25
Estonia (2009-2010),32,23
Korea (2009),31,23
Germany (2001-02),27,27
Canada (2010),32,21
Norway (2010),27,24
Belgium (2005),29,18
China (2008),24,22
Denmark (2001),25,20
Poland (2003-04),28,17
United Kingdom (2005),24,19
Netherlands (2005-06),22,20
Ireland (2005),23,17
Australia (2006),23,16
Hungary (1999-2000),24,15
United States (2014),24,13
Spain (2009-10),24,12
Sweden (2010),18,16
New Zealand (2009-10),19,15
Japan (2011),17,14
Portugal (1999),20,6
Mexico (2009),15,8
Turkey (2006),10,4
South Africa (2010),9,2
India (1999),9,1
