Cost component,Phase 1,Phase 2,Phase 3,Phase 4
Data Management Costs,50331,59934,39047,49702
Cost Per IRB Approvals,11962,60188,114118,137813
Cost of IRB Amendments,1094,1698,1919,1636
SDV Costs,326437,406038,400173,353602
Patient Recruitment Costs,37050,161140,308672,298923
Patient Retention Costs,6145,15439,24727,30568
RN/CRA Costs,178237,441053,939540,820775
Physician Costs,109681,381968,805508,669464
Clinical Procedure Total,475667,1476368,2252208,1733576
Central Lab Costs,252163,804821,849180,419758
Site Recruitment Costs,51904,233729,395182,168343
Site Retention Costs,193615,1127005,1305361,1835341
Administrative Staff Costs,237869,1347390,2321628,3323081
Site Monitoring Costs,198896,1083186,1624874,1549761
