Unnamed: 0,Brunei,Cambodia,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam
2018*,13.57,24.44,1022.45,18.12,358.58,68.67,330.91,364.14,504.93,241.27
2017,12.13,22.19,1015.29,17.07,318.96,61.39,313.62,338.4,455.32,220.38
2016,11.4,20.04,932.07,15.92,301.26,60.45,304.9,318.06,412.41,201.33
2015,12.93,18.08,860.74,14.36,301.36,63.23,292.77,308.0,401.27,191.29
2014,17.1,16.7,891.05,13.27,342.87,63.27,284.59,314.86,407.34,185.76
2013,18.09,15.23,916.65,11.97,327.87,60.54,271.84,307.58,420.33,170.44
2012,19.05,14.06,919.0,10.2,318.91,58.47,250.09,295.09,397.56,155.48
2011,18.53,12.82,892.59,8.96,302.19,54.12,224.14,279.36,370.82,134.6
2010,13.71,11.23,755.26,7.5,258.65,39.78,199.59,239.81,341.11,112.77
2009,11.89,10.39,577.54,6.43,211.88,31.73,168.49,194.15,281.71,101.63
2008,16.01,10.34,558.58,5.95,242.04,25.1,173.6,193.62,291.38,98.27
