Year,Public,Private
2017*,389.0,219.0
2016,372.0,212.0
2015,354.78,204.69
2014,335.63,199.86
2013,323.89,193.17
2012,311.42,187.44
2011,305.54,182.55
2010,296.86,175.13
2009,281.39,165.09
2008,273.02,157.74
2007,261.05,147.44
2006,238.83,136.72
2005,226.55,127.03
2004,215.79,119.23
2003,205.07,111.68
2002,197.03,105.86
2001,183.44,97.28
2000,170.35,89.86
1999,152.32,84.46
1998,140.54,78.67
1997,132.85,76.01
1996,125.98,73.93
1995,119.53,70.95
1994,115.47,67.5
1993,109.31,64.04
1992,104.57,60.67
1991,98.85,57.34
1990,92.96,53.13
1989,85.77,48.89
1988,78.95,44.92
1987,72.64,41.15
1986,67.65,38.11
1985,63.19,34.34
1984,58.32,31.64
1983,53.09,28.91
1982,49.57,26.36
1981,46.22,24.12
1980,42.28,21.77
1979,37.77,19.15
1978,33.73,16.99
1977,30.73,15.25
1976,28.64,13.97
1975,26.18,12.72
1974,23.49,11.57
1973,20.34,10.38
1972,18.2,9.75
1971,16.48,9.08
1970,15.0,8.38
