Unnamed: 0,Land Rover,Jaguar
Dec `19,2.9%,1.24%
Nov `19,3.68%,1.55%
Oct `19,4.02%,1.69%
Sep `19,3.73%,1.76%
Aug `19,1.81%,1.13%
Jul '19,2.64%,1.6%
Jun '19,2.91%,1.32%
May '19,3.3%,1.58%
Apr '19,3.53%,1.62%
Mar '19,3.64%,1.79%
Feb '19,1.9%,1.21%
Jan '19,3.48%,1.32%
Dec '18,3%,1.6%
Nov '18,4%,1.71%
Oct '18,4.52%,2.16%
Sep '18,3.79%,2.08%
Aug '18,2.34%,1.32%
Jul '18,2.34%,1.36%
Jun `18,2.56%,1.26%
May `18,3.41%,1.59%
Apr '18,2.99%,1.44%
Mar '18,3.51%,1.43%
Feb '18,1.86%,0.91%
Jan '18,3.46%,1.33%
Dec '17,2.75%,1.32%
Nov '17,3.82%,1.62%
Oct '17,3.33%,1.15%
Sep '17,3.4%,1.38%
Aug '17,1.98%,0.74%
Jul '17,3.25%,1.36%
Jun '17,2.55%,1.22%
May '17,3.02%,1.38%
Apr '17,2.71%,1.14%
Mar '17,4.01%,1.7%
Feb '17,2.14%,1.05%
Jan '17,3.11%,1.54%
Dec '16,2.79%,1.42%
Nov '16,2.87%,1.58%
Oct '16,3.13%,1.65%
Sep '16,3.11%,1.37%
Aug '16,1.93%,0.88%
Jul '16,2.73%,1.48%
