Unnamed: 0,Wii,GameCube,Nintendo 64,Wii U,Nintendo Switch
FY '19,-,-,-,-,16.95
FY '18,-,-,-,-,15.05
FY '17,-,-,-,0.76,2.74
FY '16,0.11,-,-,3.26,-
FY '15,0.46,-,-,3.38,-
FY '14,1.22,-,-,2.72,-
FY '13,3.98,-,-,3.45,-
FY '12,9.84,-,-,-,-
FY '11,15.08,-,-,-,-
FY '10,20.53,-,-,-,-
FY '09,25.95,-,-,-,-
FY '08,18.61,0.16,-,-,-
FY '07,5.84,0.73,-,-,-
FY '06,-,2.35,-,-,-
FY '05,-,3.92,-,-,-
FY '04,-,5.02,-,-,-
FY '03,-,5.76,0.01,-,-
FY '02,-,3.8,0.5,-,-
FY '01,-,-,2.85,-,-
FY '00,-,-,6.49,-,-
FY '99,-,-,7.86,-,-
FY '98,-,-,9.42,-,-
FY '97,-,-,5.8,-,-
