Unnamed: 0,Male,Female
Allergy & immunology,2939,1833
Anatomic/clinical pathology,7983,4847
Anesthesiology,31094,10624
Cardiovascular disease,19054,3138
Child & adolescent psychiatry,435,4849
Critical care medicine,8529,3013
Dermatology,6151,5889
Emergency medicine,30657,11658
"Endocrinology, diabetes & metabolism",3815,3668
Family medicine/general practice,68004,45342
Gastroenterology,12135,2593
General surgery,19865,5157
Geriatric medicine,2653,2939
Hematology & oncology,10268,5122
Infectious disease,5369,3753
Internal medicine,71577,43770
Internal medicine/pediatrics,2416,2704
Interventional cardiology,3546,294
Neonatal-perinatal medicine,2700,2826
Nephrology,7728,3057
Neurological surgery,5065,463
Neurology,9674,4029
Neuroradiology,2958,718
Obstetrics & gynecology,17879,23740
Ophthalmology,14041,4767
Orthopedic surgery,17981,1016
Otolaryngology,7890,1630
Pain medicine & pain management,4350,982
Pediatric cardiology,1750,979
Pediatric hematology/oncology,1302,1489
Pediatrics,21437,36945
Physical medicine & rehabilitation,6032,3284
Plastic surgery,5995,1144
Preventive medicine,4374,2235
Psychiatry,23244,14941
Pulmonary disease,4644,620
Radiation oncology,3661,1365
Radiology & diagnostic radiology,20601,7101
Rheumatology,3246,2622
Sports medicine (orthopedic surgery),2440,172
Thoracic surgery,4102,309
Urology,9051,866
Vascular & interventional radiology,3090,325
Vascular surgery,3204,482
