"Day, game (conference) (network)",Rating,Viewers (in thousands)
"August 25, 2016 Hawaii vs. California (MWC, Pac-12) (ESPN)",0.5,782.0
"September 1, 2016 South Carolina vs. Vanderbilt (SEC) (ESPN)",1.2,1942.0
"September 1, 2016 Indiana vs. FIU (Big Ten, C-USA) (ESPNU)",-,211.0
"September 2, 2016 Kansas State vs. Stanford (Big 12, Pac-12) (FS1)",0.8,1358.0
"September 2, 2016 Colorado State vs. Colorado (MWC, Pac-12) (ESPN)",0.7,1073.0
"September 2, 2016 Toledo vs. Arkansas State (MAC, Sun Belt) (ESPNU)",-,143.0
"September 3, 2016 USC vs. Alabama (Pac-12, SEC) (ABC)",4.6,7944.0
"September 3, 2016 LSU vs. Wisconsin (SEC, Big Ten) (ABC)",4.6,7832.0
"September 3, 2016 Oklahoma vs. Houston (Big 12, American) (ABC)",3.5,5713.0
"September 3, 2016 Clemson vs. Auburn (ACC, SEC) (ESPN)",2.6,4742.0
"September 3, 2016 Georgia vs. UNC (SEC, ACC) (ESPN)",1.9,3529.0
"September 3, 2016 UCLA vs. Texas A&M (Pac-12, SEC) (CBS)",1.9,3107.0
"September 3, 2016 College Gameday (ESPN)",-,2147.0
"September 3, 2016 Hawaii vs. Michigan (WAC, Big Ten) (ESPN)",1.3,2135.0
"September 3, 2016 Missouri vs. West Virginia (SEC, Big 12) (FS1)",0.4,728.0
"September 3, 2016 BYU vs. Arizona (Ind., Pac-12) (FS1)",0.4,728.0
"September 3, 2016 Ga. Tech vs. Boston College (ACC) (ESPN2)",-,682.0
"September 3, 2016 Miami (OH) vs. Iowa (MAC, Big Ten) (ESPNU)",-,418.0
"September 3, 2016 Southern Miss vs. Kentucky (C-USA, SEC) (ESPNU)",-,409.0
"September 3, 2016 W. Michigan vs. Northwestern (MAC, Big Ten) (ESPNU)",-,160.0
"September 3, 2016 New Mexico St. vs. UTEP (Sun Belt, C-USA) (beIN)",-,13.0
"September 4, 2016 Notre Dame vs. Texas (Ind., Big 12) (ABC)",6.4,10945.0
"September 3, 2016 Mississippi vs. FSU (SEC, ACC) (ESPN)",4.8,8354.0
"September 9, 2016 Louisville vs. Syracuse (ACC) (ESPN2)",-,1730.0
"September 10, 2016 Va. Tech vs. Tennessee (ACC, SEC) (ABC)",3.3,5790.0
"September 10, 2016 Tulsa vs. Ohio St. (American, Big Ten (ABC)",2.5,4016.0
