Unnamed: 0,Total worldwide box office revenue,Average revenue of series,Highest grossing film in series
Marvel Cinematic Universe (all),22.55,0.98,2.8
Star Wars,9.31,0.85,2.05
Harry Potter,9.19,0.84,1.34
Avengers,7.76,1.94,2.8
James Bond,7.08,0.28,1.11
X-Men,6.05,0.5,0.8
Spider-Man,5.99,0.86,1.13
The Fast and the Furious,5.9,0.66,1.52
Peter Jackson's Lord of the Rings (incl. The Hobbit movies),5.88,0.84,1.14
DC Extended Universe (all),5.28,0.66,1.15
Jurassic Park,4.98,1.0,1.65
Transformers,4.85,0.69,1.12
Batman (incl. the Dark Knight Trilogy),4.57,0.51,1.08
Pirates of the Caribbean,4.5,0.9,1.07
Despicable Me,3.71,0.93,1.16
Mission: Impossible,3.58,0.59,0.79
Shrek,3.55,0.71,0.94
The Twilight Saga,3.32,0.55,0.83
Ice Age,3.18,0.64,0.88
Toy Story,3.04,0.61,1.07
