Unnamed: 0,Elementary,Secondary
2016-17,58773,58978
2015-16,58225,58385
2014-15,57092,57678
2013-14,56395,56886
2012-13,55344,57077
2011-12,54704,56226
2010-11,55217,56225
2009-10,54918,55595
2008-09,53998,54552
2007-08,52385,53262
2006-07,50740,51529
2005-06,48573,49496
2004-05,47122,47688
2003-04,46187,46976
2002-03,45408,46106
2001-02,44177,45310
2000-01,42910,44053
1999-00,41306,42546
1998-99,40165,41203
1997-98,39002,39944
1996-97,38039,39184
1995-96,37138,38397
1994-95,36088,37523
1993-94,35233,36566
1992-93,34350,35880
1991-92,33479,34827
1990-91,32490,33896
1989-90,30832,32049
1988-89,29022,30218
1987-88,27519,28798
1986-87,26057,27244
1985-86,24718,25846
1984-85,23200,24187
1983-84,21487,22554
1982-83,20227,21291
1981-82,18853,19805
1980-81,17230,18142
1979-80,15569,16459
