Game (network) (week),Rating,Viewers (in millions)
Giants vs. Cowboys (NBC) (week 1),13.4,24.37
Seahawks vs. Packers (FOX) (week 1),12.7,22.8
Chiefs vs. Patriots (NBC) (week 1),12.6,21.79
Various (CBS) (week 1),7.6,13.34
Saints vs. Vikings (ESPN) (week 1),6.8,11.39
Eagles vs. Redskins (FOX) (week 1),6.6,11.34
Chargers vs. Broncos (ESPN) (week 1),6,9.94
Cowboys vs. Broncos (FOX) (week 2),14.3,25.97
Packers vs. Falcons (NBC) (week 2),11.3,20.24
Various (CBS) (week 2),8.4,14.52
Eagles vs. Chiefs (FOX) (week 2),7.9,13.21
Lions vs. Giants (ESPN) (week 2),7.4,12.29
Texans vs. Bengals (NFLN) (week 2),4.9,8.08
Bengals vs. Packers (CBS) (week 3),12.2,21.27
Raiders vs. Redskins (NBC) (week 3),10.1,17.48
Giants vs. Eagles (FOX) (week 3),9.2,15.43
Various (CBS) (week 3),8.4,14.41
Cowboys vs. Cardinals (ESPN) (week 3),8.2,13.69
Rams vs. 49ers (NFLN) (week 3),4.4,7.45
Rams vs. Cowboys (FOX) (week 4),11.5,20.06
Colts vs. Seahawks (NBC) (week 4),9.55,16.73
Raiders vs. Broncos (CBS) (week 4),9.1,15.59
"Bears vs. Packers (CBS, NFLN, Amazon) (week 4)",8.9,14.61
Various (CBS) (week 4),7,11.7
Saints vs. Dolphins (NBC) (week 4)*,4,6.4
Packers vs. Cowboys (FOX) (week 5),13.6,23.96
Chiefs vs. Texans (NBC) (week 5),9.5,16.53
"Patriots vs. Buccaneers (CBS, NFLN, Amazon) (week 5)",9.4,15.43
Various (CBS) (week 5),7.8,13.18
Panthers vs. Lions (FOX) (week 5),7.5,12.33
Vikings vs. Bears (ESPN) (week 5),6.1,10.28
Steelers vs. Chiefs (CBS) (week 6),12,20.59
Packers vs. Vikings (FOX) (week 6),9.4,16.2
Giants vs. Broncos (NBC) (week 6),9.4,16.16
"Eagles vs. Cardinals (CBS, NFLN, Amazon) (week 6)",8.9,14.59
Various (CBS) (week 6),6.6,10.94
Colts vs. Titans (ESPN) (week 6),5.2,8.38
Bengals vs. Steelers (CBD) (week 7),11.3,19.85
Falcons vs. Patriots (NBC) (week 7),11,19.24
Cowboys vs. 49ers (FOX) (week 7),9.5,16.12
"Chiefs vs. Raiders (CBS, NFLN, Amazon) (week 7)",8.6,14.38
Various (CBS) (week 7),8.2,13.36
Redskins vs. Eagles (ESPN) (week 7),6.9,11.28
Cowboys vs. Redskins (FOX) (week 8),12.7,22.02
Chargers vs. Patriots (CBS) (week 8)**,8.9,15.16
Steelers vs. Lions (NBC) (week 8),8,13.86
Bears vs. Saints (FOX) (week 8),7.3,12.44
"Dolphins vs. Ravens (CBS, NFLN, Amazon) (week 8)",7,11.36
Broncos vs. Chiefs (ESPN) (week 8),6.3,10.42
Vikings vs. Browns (NFLN) (week 8)*,2.1,3.45
Chiefs vs. Cowboys (CBS) (week 9),12.5,21.68
Raiders vs. Dolphins (NBC) (week 9),8.55,14.36
Falcons vs. Panthers (FOX) (week 9),8.4,14.21
Various (CBS) (week 9),7.15,11.95
Lions vs. Packers (ESPN) (week 9),6.8,11.08
Bills vs. Jets (NFLN) (week 9),3.6,5.84
Cowboys vs. Falcons (FOX) (week 10),12.8,21.96
