Unnamed: 0,Donald J. Trump,Ted Cruz*,Marco Rubio*,John Kasich*
Total,1447,551,167,161
Alabama,36,13,1,0
Alaska,11,12,5,0
Arizona,58,0,0,0
Arkansas,16,15,9,0
California,172,0,0,0
Colorado,0,30,0,0
Connecticut,28,0,0,0
Delaware,16,0,0,0
District of Columbia,0,0,10,9
Florida,99,0,0,0
Georgia,42,18,16,0
Hawaii,11,7,1,0
Idaho,12,20,0,0
Illinois,54,9,0,6
Indiana,57,0,0,0
Iowa,7,8,7,1
Kansas,9,24,6,1
Kentucky,17,15,7,7
Louisiana,28,18,0,0
Maine,9,12,0,2
Maryland,38,0,0,0
Massachusetts,22,4,8,8
Michigan,25,17,0,17
Minnesota,8,13,17,0
Mississippi,25,15,0,0
Missouri,37,15,0,0
Montana,27,0,0,0
Nebraska,36,0,0,0
Nevada,14,6,7,1
New Hampshire,11,3,1,4
New Jersey,51,0,0,0
New Mexico,24,0,0,0
New York,89,0,0,6
North Carolina,29,27,6,9
Northern Mariana Islands,9,0,0,0
Ohio,0,0,0,66
Oklahoma,13,15,12,0
Oregon,18,5,0,5
Pennsylvania,17,0,0,0
Puerto Rico,0,0,23,0
Rhode Island,12,2,0,5
South Carolina,50,0,0,0
South Dakota,29,0,0,0
Tennessee,33,16,9,0
Texas,48,104,3,0
Utah,0,40,0,0
Vermont,8,0,0,8
Virgin Islands,1,1,2,0
Virginia,17,8,16,5
Washington,40,0,0,0
West Virginia,30,0,0,1
Wisconsin,6,36,0,0
Wyoming,1,23,1,0
