Unnamed: 0,Northeast,Midwest,South,West
1790,50.1%,0%,49.9%,0%
1800,49.6%,1%,49.4%,0%
1810,48.2%,4%,47.8%,0%
1820,45.2%,8.9%,45.9%,0%
1830,43.1%,12.5%,44.4%,0%
1840,39.6%,19.6%,40.7%,0%
1850,37.2%,23.3%,38.7%,0.8%
1860,33.7%,28.9%,35.4%,2%
1870,31.9%,33.7%,31.9%,2.6%
1880,28.9%,34.6%,32.9%,3.6%
1890,27.6%,35.6%,31.8%,5%
1900,27.6%,34.6%,31.8%,5%
1910,28%,32.4%,31.9%,7.7%
1920,28%,32.1%,31.2%,8.7%
1930,27.9%,31.3%,30.7%,10%
1940,27.2%,30.4%,31.5%,10.9%
1950,26.1%,29.4%,31.2%,13.3%
1960,24.9%,28.8%,30.7%,15.6%
1970,24.1%,27.8%,30.9%,17.1%
1980,21.7%,26%,33.3%,19.1%
1990,20.4%,24%,34.4%,21.2%
2000,19%,22.9%,35.6%,22.5%
2010,17.9%,21.7%,37.1%,23.3%
2015,17.5%,21.1%,37.7%,23.6%
2016,17.4%,21%,37.9%,23.7%
2017,17.2%,21%,38%,23.8%
2018,17.2%,20.9%,38.1%,23.8%
2019,17.1%,20.8%,38.3%,23.9%
