Unnamed: 0,Android,iOS,Blackberry,Windows,Other
Sep '19,60%,39.6%,0.1%,0.2%,0.1%
Dec '18*,56.5%,43.1%,0.1%,0.3%,0%
Jul '17,64.7%,35%,-,0.4%,-
Jun '17,63.9%,35.8%,-,0.3%,-
May '17,61.5%,38.1%,0.1%,0.2%,0.1%
Apr '17,61.1%,38.4%,0.1%,0.2%,0.2%
Mar '17,59.8%,39.1%,0.2%,0.6%,0.3%
Feb '17,59.5%,38.9%,0.6%,0.7%,0.3%
Jan '17,55.7%,42.4%,0.6%,1%,0.2%
Dec '16,52.3%,44.9%,0.7%,1.9%,0.2%
Nov '16,50.1%,46.4%,1%,2.3%,0.1%
Oct '16,55.7%,39.3%,1.8%,3%,0.2%
Sep '16,58.2%,37.1%,2.2%,2.3%,0.2%
Aug '16,62.8%,33%,1.6%,2.4%,0.3%
Jul '16,60.4%,35.2%,0.7%,3%,0.4%
Jun '16,61.6%,34.7%,0.3%,3%,0.3%
May '16,64.4%,32.5%,0.3%,2.6%,0.3%
Apr '16,64%,32.7%,0.3%,2.8%,0.2%
Mar '16,60.1%,35.3%,0.3%,3.7%,0.7%
Feb '16,55.1%,38.2%,0.2%,5.8%,0.7%
Jan '16,52.6%,41.2%,0.2%,5.4%,0.6%
Dec '15,53.5%,39.6%,0.3%,6.3%,0.3%
Nov '15,53.7%,40.5%,0.5%,5.3%,0%
Oct '15,54.9%,37.9%,0.5%,6.5%,0.2%
Sep '15,54.5%,36.8%,1.1%,7.4%,0.2%
Aug '15,53.1%,37.8%,1.5%,7.4%,0.2%
Jul '15,56.1%,34.9%,2%,6.9%,0.1%
Jun '15,57.2%,34.6%,1.2%,6.3%,0.3%
May '15,56.2%,35.9%,1%,6.3%,0.6%
Apr '15,53.8%,36.8%,1.2%,7.7%,0.5%
Mar '15,52.3%,38.4%,1.6%,7.3%,0.4%
Feb '15,50.6%,38.5%,1.2%,9.3%,0.5%
Jan '15,46.9%,42.4%,-,8.7%,1.9%
Dec '14,43.7%,45.1%,0.9%,9.2%,1.1%
Nov '14,45%,44.9%,0.9%,8%,1.1%
Oct '14,50.8%,40.4%,0.8%,7.3%,0.7%
Sep '14,58.1%,34.7%,0.6%,6.2%,0.4%
Aug '14,64.3%,29.3%,0.8%,5.1%,0.4%
Jul '14,66.5%,27%,0.5%,5.7%,0.4%
Jun '14,68%,25.5%,0.5%,5.3%,0.7%
May '14,63.7%,28%,0.5%,7.2%,0.6%
Apr '14,60.8%,30.1%,0.9%,6.7%,1.5%
Mar '14,57.3%,33.1%,1%,6.9%,1.7%
Feb '14,58.5%,33.9%,0.7%,5%,1.8%
Jan '14,57.7%,35.1%,0.3%,5.1%,1.7%
Dec '13,57.5%,34.8%,0.7%,5.2%,1.7%
Nov '13,55.1%,35%,1.4%,6.9%,1.5%
Oct '13,54.9%,35%,1.6%,7.3%,1.1%
Sep '13,55.6%,32.6%,1.3%,9.3%,1.3%
Aug '13,63.4%,27.1%,0.4%,6.8%,2.3%
Jul '13,63.4%,26.9%,0.4%,6.7%,2.6%
Jun '13,64.8%,27.4%,0.3%,5.2%,2.3%
May '13,63.3%,28.2%,0.7%,5.5%,2.3%
Apr '13,64.1%,28.1%,0.6%,5%,2.2%
Mar '13,61.6%,31.1%,0.5%,4.1%,2.7%
Feb '13,58.8%,34.8%,0.4%,3.5%,2.5%
Jan '13,57.9%,36%,0.5%,3.4%,2.3%
