Unnamed: 0,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 to 89 years,90 to 94 years,95 to 99 years,100 years and over
2015,19965,20463,20590,21092,22740,22473,21659,20346,20178,20817,22312,21811,19093,16094,11500,8126,5806,3875,1859,498,72
2020,20568,20274,20735,21048,22059,23722,23168,22060,20568,20204,20638,21879,21141,18194,14882,10112,6527,3964,2024,649,89
2025,21010,20889,20555,21219,22077,23103,24450,23586,22291,20613,20063,20294,21265,20202,16891,13154,8191,4521,2114,728,119
2030,21178,21347,21182,21060,22299,23179,23878,24898,23840,22351,20506,19777,19799,20397,18830,15013,10737,5747,2464,782,138
2035,21268,21529,21650,21706,22183,23450,23995,24360,25176,23919,22257,20260,19351,19071,19091,16819,12343,7622,3192,940,154
2040,21471,21632,21842,22190,22866,23377,24302,24507,24668,25274,23844,22023,19880,18704,17940,17143,13924,8867,4320,1254,193
2045,21775,21845,21952,22395,23383,24098,24259,24838,24840,24798,25219,23629,21653,19283,17664,16212,14294,10114,5127,1751,267
2050,22147,22158,22171,22516,23615,24646,25004,24813,25190,24995,24781,25023,23275,21054,18294,16042,13634,10492,5951,2141,387
2055,22499,22536,22489,22743,23757,24903,25572,25572,25180,25363,25006,24633,24689,22686,20039,16717,13574,10137,6275,2550,493
2060,22778,22894,22871,23067,23999,25065,25845,26151,25949,25368,25395,24893,24357,24112,21662,18393,14274,10184,6184,2752,604
