Unnamed: 0,Under 18 years,18 to 44 years,45 to 64 years,65 to 74 years,75 years and over
"New York - Northern New Jersey - Long Island, NY-NJ-PA",4423734,7135783,5022623,1293522,1194134
"Los Angeles - Long Beach - Santa Ana, CA",3256354,5163207,3065350,725875,664011
"Chicago - Naperville - Joliet, IL-IN-WI",2436723,3654096,2415975,572564,501209
"Dallas - Fort Worth - Arlington, TX",1806339,2598211,1489928,311959,241178
"Philadelphia - Camden - Wilmington, PA-NJ-DE-MD",1399360,2183443,1593846,396354,395249
"Houston - Sugar Land - Baytown, TX",1673274,2296708,1401077,285072,211358
"Miami - Fort Lauderdale - Pompano Beach, FL",1251716,1991118,1420578,404918,478721
"Washington - Arlington - Alexandria, DC-VA-MD-WV",1337831,2152100,1436495,310624,239191
"Atlanta - Sandy Springs - Marietta, GA",1476554,2185701,1342201,274841,195916
"Boston - Cambridge - Quincy, MA-NH",993673,1758176,1245644,300875,290312
