Unnamed: 0,2017,2018
General Motors,2986737,2934742
Ford Motor Company,2575200,2490175
Toyota Motor Sales U.S.A.,2433749,2426646
FCA,2073147,2238307
Nissan North America,1697150,1611951
Honda,1639352,1604561
Hyundai Kia Auto Group,1275222,1278740
Subaru of America,647956,680135
Volkswagen Group of America*,620772,634509
BMW of North America,352787,354698
Daimler,375311,350360
Mazda Motor of America,289469,300325
Tesla Motors,50067,197517
Jaguar Land Rover N. A.,114212,122397
Volvo Cars North America,81434,98786
