Unnamed: 0,Male,Female
Nov '19,623.2,426.9
Oct '19,626.4,427.7
Sep '19,628.3,427.4
Aug '19,627.7,425.0
Jul '19,626.5,422.7
Jun '19,625.8,423.9
May '19,625.9,426.7
Apr '19,626.3,426.1
Mar '19,629.5,424.6
Feb '19,631.0,422.0
Jan '19,632.3,420.6
Dec '18,629.5,418.0
Nov'18,626.7,415.3
Oct'18,626.7,413.4
Sep'18,628.4,416.4
Aug'18,625.9,416.8
Jul'18,624.8,416.4
Jun'18,621.5,413.8
May'18,620.5,413.1
Apr '18,619.4,412.8
Mar '18,619.2,410.8
Feb '18,621.6,410.8
Jan '18,622.7,409.9
Dec '17,623.5,410.6
Nov '17,618.5,407.4
