Unnamed: 0,Home Entertainment,Mobile Communications,Home Appliance & Air Solution,Vehicle Components,B2B,Others,Home Appliance,Air-Conditioning & Energy Solutions,Business Solutions
4Q '19,3.81,1.1,3.84,1.13,-,-,-,-,0.56
3Q '19,3.21,1.26,4.43,1.11,-,2.44,-,-,0.58
2Q '19,3.11,1.37,5.17,1.21,-,1.82,-,-,0.57
1Q '19,3.47,1.3,4.71,1.16,-,1.68,-,-,0.54
4Q '18,4.08,1.53,3.87,1.25,0.54,0.86,-,-,-
3Q '18,3.27,1.8,4.27,1.04,0.51,0.89,-,-,-
2Q '18,3.4,1.85,4.68,0.78,0.52,1.07,-,-,-
1Q '18,2.03,3.87,4.63,0.79,0.6,0.92,-,-,-
4Q '17,2.75,4.58,3.94,0.77,0.63,0.87,-,-,-
3Q '17,2.52,3.82,4.49,0.78,0.6,0.86,-,-,-
2Q '17,2.41,3.45,4.74,0.79,0.5,0.79,-,-,-
1Q '17,2.81,3.61,4.23,0.8,0.49,0.55,-,-,-
4Q '16,4.51,2.8,3.81,0.81,-,0.31,-,-,-
3Q '16,3.89,2.45,4.02,0.63,-,0.41,-,-,-
2Q '16,3.91,3.22,4.43,0.6,-,0.24,-,-,-
1Q '16,4.07,2.84,3.98,0.56,-,0.31,-,-,-
4Q '15,4.46,3.55,3.6,0.49,-,0.42,-,-,-
3Q '15,4.03,3.17,3.9,0.45,-,0.47,-,-,-
2Q '15,3.7,3.43,4.22,0.42,-,0.29,-,-,-
1Q '15,4.17,3.38,3.82,0.36,-,0.3,-,-,-
4Q '14,5.1,3.57,3.56,-,-,0.76,-,-,-
3Q '14,4.24,4.0,3.74,-,-,0.7,-,-,-
2Q '14,4.5,3.41,4.58,-,-,0.59,-,-,-
1Q '14,4.38,3.22,3.88,-,-,0.63,-,-,-
4Q '14 old,4.94,3.44,-,-,-,0.86,2.62,0.71,-
3Q '14 old,4.1,3.86,-,-,-,0.81,2.65,0.84,-
2Q '14 old,4.35,3.29,-,-,-,0.77,2.76,1.49,-
1Q '14 old,5.1,3.1,-,-,-,0.79,2.47,1.11,-
4Q '13,4.25,3.38,-,-,-,0.75,2.67,0.68,-
3Q '13,4.49,2.86,-,-,-,0.76,2.79,0.91,-
2Q '13,4.22,2.94,-,-,-,0.84,3,1.63,-
1Q '13,5.94,3.01,-,-,-,0.81,2.64,1.14,-
4Q '12,5.06,2.64,-,-,-,0.71,2.77,0.63,-
3Q '12,5.06,2.3,-,-,-,0.67,2.7,0.9,-
2Q '12,4.93,2.18,-,-,-,0.77,2.7,1.38,-
1Q '12,4.78,2.35,-,-,-,0.7,2.38,1.13,-
4Q '11,6.23,2.61,-,-,-,0.7,2.8,0.65,-
3Q '11,5.4,2.6,-,-,-,0.65,2.53,0.95,-
2Q '11,5.47,3.05,-,-,-,0.81,2.63,1.56,-
1Q '11,5.38,2.73,-,-,-,0.65,2.45,1.16,-
