Unnamed: 0,2017,2018,2019
China,896.0,911.0,1007.0
India,202.0,230.0,290.0
Indonesia,106.0,120.0,130.0
Japan,70.0,71.0,78.0
Philippines,57.0,62.0,72.0
Vietnam,47.0,50.0,58.0
Thailand,44.0,46.0,49.0
South Korea,42.75,43.04,43.66
Pakistan,29.0,32.0,36.0
Bangladesh,24.0,28.0,32.0
Malaysia,21.0,22.0,24.0
Taiwan,18.0,18.0,21.0
Myanmar,15.0,16.0,21.0
Australia,15.0,15.0,16.0
Nepal,7.5,8.7,9.3
Cambodia,5.5,6.3,8.1
Sri Lanka,4.9,5.5,5.7
Hong Kong,5.1,5.2,5.4
Singapore,4.1,4.3,4.2
New Zealand,2.9,3.1,3.1
Laos,1.9,2.2,2.6
Mongolia,1.7,1.9,2.1
Papua New Guinea,0.58,0.67,0.68
Fiji,0.43,0.47,0.53
Timor-Leste,0.38,0.39,0.49
Bhutan,0.31,0.35,0.41
Macau,0.37,0.38,0.4
Brunei,0.33,0.35,0.36
Maldives,0.3,0.32,0.35
North Korea,0.01,0.01,0.01
