Unnamed: 0,Android,BlackBerry,iOS,Windows,Other
Sep '19,82.4%,-,17.6%,-,-
Aug '19,82.7%,-,17.1%,-,0.1%
Jul '19,80.8%,-,19%,-,0.1%
Jun '19,79.9%,0.3%,19.7%,-,0.1%
May '19,78.5%,-,21.4%,-,0.1%
Apr '19,79.6%,-,20.3%,-,0.1%
Mar '19,78.2%,-,21.7%,-,0.1%
Feb '19,79.4%,-,20.5%,0.1%,-
Jan '19,79.9%,-,19.9%,0.1%,0.1%
Dec '18,80.1%,-,19.7%,0.1%,0.1%
Nov '18,79.1%,-,20.6%,0.1%,0.2%
Oct '18,79.6%,-,20.2%,0.1%,0.1%
Sep '18,80.8%,-,18.9%,0.1%,0.2%
Aug '18,80.2%,-,19.5%,0.1%,0.2%
Jul '18,81.2%,-,18.6%,0.1%,0.2%
Jun '18,80.4%,-,19.4%,0.1%,0.1%
May '18,80.3%,-,19.5%,0.1%,-
Apr '18,79.1%,-,20.7%,0.2%,-
Mar '18,77.4%,-,22.1%,0.5%,-
Feb '18,74%,-,25.5%,0.5%,-
Jan '18,71%,-,28.6%,0.4%,-
Dec '17,71.2%,-,28.6%,0.1%,-
Nov '17,75.5%,-,24.3%,0.2%,-
Oct '17,79.9%,-,19.8%,0.2%,-
Sep '17,82.2%,0.2%,17.3%,0.2%,-
Aug '17,82%,0.2%,17.7%,-,-
Jul '17,80.4%,0.2%,19.3%,-,-
Jun '17,78.4%,-,21.5%,0.1%,-
May '17,80.5%,-,19.2%,0.2%,-
Apr '17,83.5%,0.1%,16.1%,0.2%,0.1%
Mar '17,87.2%,0.1%,12.4%,0.2%,0.1%
Feb '17,86.4%,0.1%,13.2%,0.2%,0.1%
Jan '17,83.3%,0.1%,16.5%,0.1%,-
Dec '16,80.7%,0.1%,19.1%,0.1%,-
Nov '16,79.9%,-,19.9%,0.1%,0.1%
Oct '16,82.6%,-,17.1%,0.1%,0.2%
Sep '16,85.3%,-,14.2%,-,0.4%
Aug '16,85.9%,0.1%,13.5%,0.1%,0.4%
Jul '16,85%,0.1%,14.3%,0.2%,0.4%
Jun '16,81.4%,0.1%,17.9%,0.3%,0.3%
May '16,79.3%,0.1%,19.7%,0.6%,0.3%
Apr '16,78.8%,-,20.1%,0.4%,-
Mar '16,77.7%,-,21.1%,0.8%,0.4%
Feb '16,76.4%,-,22.2%,0.9%,0.4%
Jan '16,73.9%,-,25%,0.9%,0.3%
Dec '15,71.4%,-,27.1%,1.2%,0.2%
Nov '15,72.7%,-,25.3%,1.6%,0.4%
Oct '15,74.2%,-,22.9%,2.4%,0.4%
Sep '15,77.4%,-,19.1%,3%,0.5%
Aug '15,78.1%,-,19.4%,2.3%,0.2%
Jul '15,79.1%,-,19.1%,1.5%,0.3%
Jun '15,79%,-,20.1%,0.5%,0.3%
May '15,76.4%,-,22.1%,0.9%,0.5%
Apr '15,73.4%,-,25.2%,0.9%,0.4%
Mar '15,71.5%,-,26.5%,1.3%,0.7%
Feb '15,70.9%,-,27.6%,0.8%,0.7%
Jan '15,72.8%,-,25.4%,0.8%,1%
Dec '14,77%,-,21.5%,0.7%,0.8%
Nov '14,80.4%,-,18.1%,0.6%,0.9%
Oct '14,82.9%,-,15.7%,0.5%,0.9%
Sep '14,83.4%,-,15.2%,0.4%,1%
