Year,Public,Private
1965,11610,1400
1966,11894,1400
1967,12250,1400
1968,12718,1400
1969,13037,1300
1970,13336,1311
1971,13753,1300
1972,13848,1300
1973,14044,1300
1974,14103,1300
1975,14304,1300
1976,14314,1342
1977,14203,1343
1978,14088,1353
1979,13616,1300
1980,13231,1339
1981,12764,1400
1982,12405,1400
1983,12271,1400
1984,12304,1400
1985,12388,1362
1986,12333,1336
1987,12076,1247
1988,11687,1206
1989,11390,1163
1990,11341,1136
1991,11544,1131
1992,11737,1125
1993,11963,1118
1994,12215,1138
1995,12502,1163
1996,12849,1178
1997,13056,1185
1998,13195,1212
1999,13371,1229
2000,13517,1264
2001,13736,1296
2002,14069,1306
2003,14339,1311
2004,14618,1331
2005,14909,1349
2006,15081,1360
2007,15086,1364
2008,14980,1342
2009,14952,1309
2010,14860,1299
2011,14749,1291
2012,14753,1302
2013,14794,1312
2014,14943,1373
2015,15050,1446
2016,15138,1474
2017*,15222,1481
2018*,15264,1492
2019*,15313,1494
2020*,15473,1505
2021*,15661,1517
2022*,15823,1515
2023*,15863,1520
2024*,15748,1521
2025*,15601,1518
2026*,15420,1514
2027*,15334,1514
2028*,15346,1515
