Unnamed: 0,Men,Women
2014 Sochi*,1800,1000
2010 Vancouver,1522,1044
2006 Turin,1548,960
2002 Salt Lake City,1513,886
1998 Nagano,1514,788
1994 Lillehammer,1217,522
1992 Albertville,1313,488
1988 Calgary,1108,315
1984 Sarajevo,998,274
1980 Lake Placid,839,233
1976 Innsbruck,892,231
1972 Sapporo,800,206
1968 Grenoble,947,211
1964 Innsbruck,891,200
1960 Squaw Valley,521,144
1956 Cortina d'Ampezzo,689,132
1952 Oslo,585,109
1948 St. Moritz,592,77
1936 Garmisch-Partenkirchen,566,80
1932 Lake Placid,220,32
1928 St. Moritz,437,27
1924 Chamonix,245,13
