Unnamed: 0,Google,Yahoo,Bing,DuckDuckGo
Q4 '19,61%,49%,23%,58%
Q3 '19,64%,53%,25%,65%
Q2 '19,63%,52%,23%,62%
Q1 '19,62%,50%,23%,62%
Q4 '18,61%,51%,22%,-
Q3 '18,60%,51%,22%,-
Q2 '18,59%,50%,22%,-
Q1 '18,57%,48%,19%,-
Q4 '17,56%,42%,18%,46%
Q3 '17,57%,48%,18%,-
Q2 '17,54%,49%,18%,-
Q1 '17,56%,49%,18%,-
Q4 '16,54%,49%,18%,-
Q3 '16,51%,47%,19%,-
Q2 '16,49%,47%,20%,-
Q1 '16,48%,44%,22%,-
Q3 '15,47%,44%,29%,-
Q2 '15,47%,46%,30%,-
Q1 '15,47%,43%,31%,-
Q4 '14,44%,49%,29%,-
Q3 '14,41%,47%,28%,-
Q2 '14,38%,40%,19%,-
Q1 '14,36%,39%,16%,-
Q4 '13,34%,32%,15%,-
