Unnamed: 0,Male,Female
0-5 years,443658,422404
5-10 years,470233,447209
10-15 years,489531,466784
15-20 years,538304,513715
20-25 years,548282,531643
25-30 years,569071,552792
30-35 years,543375,533531
35-40 years,516735,514558
40-45 years,510460,514928
45-50 years,616540,619179
50-55 years,641987,634869
55-60 years,616601,614931
60-65 years,545999,550840
65-70 years,492006,501068
70-75 years,445416,467968
75-80 years,284920,323806
80-85 years,181154,240960
85-90 years,91558,158510
90-95 years,29673,71290
95 years or older,5583,20092
