Unnamed: 0,Male,Female
Andalusia,4168901,4277660
Catalonia,3721783,3887716
Community of Madrid,3205259,3480212
Region of Valencia,2462321,2536390
Galicia,1302611,1396153
Castile and Leon,1186138,1216739
Basque Country,1055722,1126196
Canary Islands,1100985,1119285
Castile-La Mancha,1023105,1015335
Murcia,747648,746793
Aragon,653825,670571
Balearic Islands,599693,598883
Extremadura,527492,535306
Asturias,487643,532350
Navarre,322403,330124
Cantabria,283599,298350
La Rioja,154979,159508
Ceuta,42785,41649
Melilla,42498,41788
