Unnamed: 0,Tuition cost in U.S. dollars,Average debt
Harvard University (Massachusetts),69600,7372
Stanford University (California),69109,8155
Yale University (Connecticut),71290,4962
Massachusetts Institute of Technology (Massachusetts),67430,7530
Princeton University (New Jersey),66150,4451
University of Pennsylvania (Pennsylvania),71715,7733
Brown University (Rhode Island),71050,7794
California Institute of Technology (California),68901,5988
Duke University (North Carolina),71764,6114
Dartmouth College (New Hampshire),71827,6239
Cornell University (New York),70321,8107
Pomona College (California),69725,6561
"University of California, Berkeley (California)",65003,6237
Columbia University (New York),74199,10740
Georgetown University (District of Columbia),71580,6358
University of Chicago (Illinois),75735,10381
Northwestern University (Illinois),72980,7024
University of Notre Dame (Indiana),69395,6600
Williams College (Massachusetts),70650,4440
"University of Michigan, Ann Arbor (Michigan)",62176,6965
