Unnamed: 0,Freightliner,International,Kenworth,Mack,Peterbilt,Volvo Truck
2018,90.86,34.33,37.38,18.45,36.97,26.79
2017,72.17,21.9,29.34,16.01,30.47,17.1
2016,77.46,21.37,29.47,17.15,26.53,20.54
2015,100.21,28.84,37.2,19.83,31.72,30.93
2014,82.11,31.13,31.16,19.65,29.73,26.56
2013,70.58,34.82,25.94,16.29,24.72,20.66
2012,66.6,34.82,27.78,17.33,27.26,20.92
2011,54.37,35.93,22.58,12.93,24.58,20.96
2010,36.35,26.94,11.62,9.21,12.98,10.04
2009,29.58,26.58,11.65,7.63,12.28,7.07
2008,42.64,32.4,15.86,11.79,17.61,13.06
2007,51.71,29.68,19.3,13.44,19.95,16.06
