Unnamed: 0,Salary & bonuses,Endorsements
Lionel Messi (FC Barcelona),92.0,35.0
Cristiano Ronaldo (Juventus),65.0,44.0
Neymar (Paris Saint-Germain),75.0,30.0
Paul Pogba (Manchester United),29.0,4.0
Andrés Iniesta (Vissel Kobe),30.0,2.5
Alexis Sánchez (Manchester United),28.3,2.5
Kylian Mbappe (Paris St. Germain),26.6,4.0
Mesut Özil (Arsenal),23.7,6.5
Oscar (Shanghai SIPG),27.0,2.0
Antoine Griezmann (Atletico Madrid),23.2,4.5
Gareth Bale (Real Madrid),20.6,6.5
Mohamed Salah (Liverpool),16.1,9.0
Ángel Di María (Paris Saint-Germain),21.7,2.0
Luis Suárez (FC Barcelona),20.1,3.5
Sergio Agüero (Manchester City),17.1,5.5
Thiago Silva (Paris Saint-Germain),21.5,1.0
James Rodríguez (Bayern Munich/Real Madrid),16.3,4.5
Sergio Ramos (Real Madrid),19.9,2.0
Graziano Pellè (Shandong Luneng),20.7,1.0
Gerard Piqué (FC Barcelona),17.7,4.0
