Latest available time period in brackets,Male,Female
Mexico (2009),75,280
Slovenia (2000-01),114,212
India (1999),19,298
Portugal (1999),51,253
Poland (2003-04),93,194
Turkey (2006),21,261
Belgium (2005),97,167
Italy (2008),51,213
Australia (2006),93,168
France (2009),98,158
Germany (2001-02),90,164
Denmark (2001),107,145
South Africa (2010),68,183
Hungary (1999-2000),65,186
Austria (2008-09),79,170
Estonia (2009-2010),89,147
Finland (2009-10),91,137
Japan (2011),24,199
New Zealand (2009-10),76,142
Canada (2010),83,133
Spain (2009-10),76,127
China (2008),48,155
United States (2014),76,124
United Kingdom (2005),66,133
Netherlands (2005-06),63,134
Ireland (2005),49,135
Sweden (2010),79,95
Norway (2010),61,104
Korea (2009),21,138
