Unnamed: 0,Advertising revenue,Other revenue
Q4 '19,20736,346
Q3 '19,17383,269
Q2 '19,16624,262
Q1 '19,14912,165
Q4 '18,16640,274
Q3 '18,13539,188
Q2 '18,13038,193
Q1 '18,11795,171
Q4 '17,12779,193
Q3 '17,10142,186
Q2 '17,9164,157
Q1 '17,7857,175
Q4 '16,8629,180
Q3 '16,6816,195
Q2 '16,6239,197
Q1 '16,5201,181
Q4 '15,5637,204
Q3 '15,4299,202
Q2 '15,3827,215
Q1 '15,3317,226
Q4 '14,3594,257
Q3 '14,2957,246
Q2 '14,2676,234
Q1 '14,2265,237
Q4 '13,2344,241
Q3 '13,1798,218
Q2 '13,1599,214
Q1 '13,1245,213
Q4 '12,1329,256
Q3 '12,1086,176
Q2 '12,992,192
Q1 '12,872,186
Q4 '11,943,188
Q3 '11,798,156
Q2 '11,776,119
Q1 '11,637,94
Q4 '10,655,76
Q3 '10,450,17
Q2 '10,424,8
Q1 '10,340,5
