Unnamed: 0,2017,2018,2019,Unnamed: 4,Unnamed: 5,Unnamed: 6
European Union - 28 countries,72%,76%,79%,-,-,-
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",73%,76%,79%,-,-,-
Belgium,76%,82%,85%,-,-,-
Bulgaria,54%,55%,60%,-,-,-
Czechia,68%,75%,76%,-,-,-
Denmark,91%,92%,92%,-,-,-
Germany,79%,84%,85%,-,-,-
Estonia,79%,82%,83%,-,-,-
Ireland,70%,74%,83%,-,-,-
Greece,59%,61%,65%,-,-,-
Spain,69%,72%,78%,-,-,-
France,70%,75%,77%,-,-,-
Croatia,58%,66%,71%,-,-,-
Italy,68%,71%,73%,-,-,-
Cyprus,74%,77%,79%,-,-,-
Latvia,70%,73%,75%,-,-,-
Lithuania,64%,68%,73%,-,-,-
Luxembourg,91%,86%,87%,-,-,-
Hungary,69%,69%,75%,-,-,-
Malta,76%,77%,82%,-,-,-
Netherlands,90%,90%,92%,-,-,-
Austria,74%,76%,80%,-,-,-
Poland,61%,64%,68%,-,-,-
Portugal,63%,64%,65%,-,-,-
Romania,47%,53%,57%,-,-,-
Slovenia,68%,71%,74%,-,-,-
Slovakia,69%,68%,76%,-,-,-
Finland,87%,88%,90%,-,-,-
Sweden,90%,88%,91%,-,-,-
United Kingdom,85%,91%,91%,-,-,-
Iceland,96%,96%,97%,-,-,-
Norway,92%,93%,95%,-,-,-
Montenegro,62%,63%,65%,-,-,-
North Macedonia,62%,68%,73%,-,-,-
Serbia,62%,68%,72%,-,-,-
Turkey,57%,63%,67%,,,
