Unnamed: 0,Automobiles,Buses,Trucks,Motorcycles
Colorado,1785058,13305,3271595,190002
California,14860967,99917,14991714,842543
Texas,8176879,67143,13522053,364690
Florida,7778493,59596,8534913,586267
Illinois,4655844,34359,5866614,333943
New York,4563035,80446,5821796,392178
Ohio,4605459,41255,5752346,410187
Pennsylvania,4463267,55935,5792846,377158
Michigan,3257473,8737,4993400,258487
Georgia,3536055,36418,4665930,203922
North Carolina,3317918,32493,4531463,188843
Virginia,3251339,34268,4034926,193951
Washington,2925765,23566,4075464,231401
Indiana,2261440,20725,3637290,250579
New Jersey,2798699,25097,3080936,152979
Arizona,2391624,9051,3399704,164055
Tennessee,2325004,29158,3280359,165968
Minnesota,2146187,19980,327493,241556
Wisconsin,2092584,15567,3163814,324670
Missouri,2141050,27180,3262212,138294
Massachusetts,2208468,13498,2674324,168931
Alabama,2065463,5682,2872743,112185
South Carolina,1808401,17728,2459839,118132
Maryland,2006904,22972,2209445,118277
Kentucky,1691085,10759,2490198,101163
Oregon,1542461,17691,2400561,142738
Louisiana,1389436,29160,2374552,113664
Iowa,1268996,9284,2277194,194603
Oklahoma,1337624,3155,2267209,136190
Arkansas,926789,11941,1805510,89457
Connecticut,1302339,11378,1422502,90131
Kansas,987259,6228,1628494,95892
Nevada,1047508,3198,1328704,76032
Utah,925052,6109,1340619,83993
Mississippi,822864,8018,1198470,28124
Nebraska,677040,13564,1218765,55736
Montana,441392,4702,1111169,306655
Idaho,550006,3870,1218730,63297
New Mexico,609494,6278,1066512,57718
West Virginia,562984,3342,1064329,60582
New Hampshire,505381,2871,732067,78798
Hawaii,512386,3033,708546,35576
South Dakota,353180,2614,785101,117461
Maine,387233,4339,651349,51467
North Dakota,276545,3331,724941,51941
Delaware,419199,3763,519961,27810
Rhode Island,420313,2273,419314,30914
Wyoming,193523,4219,592555,28960
Alaska,173487,8080,591079,31859
Vermont,221936,1070,367647,30955
Dist. of Col.,208141,4885,128700,4290
