Unnamed: 0,True,Don't know,False
Argentina,10%,28%,62%
Australia,14%,27%,59%
Belgium,9%,51%,40%
Brazil,10%,35%,54%
Canada,16%,32%,52%
Chile,16%,31%,53%
China,19%,50%,31%
Colombia,14%,44%,42%
Denmark,22%,36%,42%
France,17%,48%,35%
Germany,12%,36%,52%
Great Britain,20%,35%,45%
Hong Kong,22%,50%,28%
Hungary,10%,42%,48%
India,44%,36%,20%
Indonesia,23%,32%,45%
Israel,29%,35%,36%
Italy,14%,38%,48%
Japan,12%,63%,25%
Malaysia,30%,35%,34%
Mexico,14%,28%,58%
Montenegro,44%,30%,26%
Netherlands,11%,40%,49%
New Zealand,16%,31%,53%
Norway,18%,23%,59%
Peru,17%,39%,45%
Philippines,28%,33%,39%
Poland,17%,38%,45%
Russia,14%,47%,39%
Saudi Arabia,24%,51%,25%
Serbia,27%,40%,34%
Singapore,20%,48%,32%
South Africa,30%,35%,34%
South Korea,19%,52%,30%
Spain,8%,39%,53%
Sweden,25%,24%,52%
Turkey,31%,47%,22%
USA,19%,29%,52%
