Unnamed: 0,On Course,Off Course
Rory Mcllroy,17.51,32.0
Arnold Palmer,-,40.0
Phil Mickelson,4.27,33.5
Tiger Woods,0.11,34.61
Jordan Spieth,6.4,24.0
Jack Nicklaus,0.04,20.0
Dustin Johnson,12.66,7.1
Jason Day,8.85,10.75
Adam Scott,8.16,6.9
Gary Player,-,15.0
Henrik Stenson,6.94,7.25
Hideki Matsuyama,5.58,8.0
Rickie Fowler,3.33,9.1
Sergio Garcia,3.85,8.5
Matt Kuchar,4.6,6.75
Bubba Watson,4.85,6.3
Patrick Reed,8.35,2.75
Bernhard Langer,4.15,6.25
Greg Norman,-,10.0
Colin Montgomerie,2.24,7.5
Justin Rose,2.31,7.2
Jimmy Walker,4.66,4.2
Graeme McDowell,3.01,5.8
Brandt Snedeker,4.74,4.0
Ernie Els,0.65,8.0
Lee Westwood,1.95,6.55
Branden Grace,4.64,3.7
Nick Faldo,0.04,8.25
Jim Furyk,1.61,6.65
Russell Knox,6.1,2.08
Tom Watson,0.15,8.0
Miguel A. Jimenez,1.95,6.0
Zach Johnson,2.12,5.75
Danny Willett,5.29,2.55
Martin Kaymar,1.78,6.0
Fred Couples,0.23,7.5
Paul Casey,5.03,2.0
Davis Love III,0.42,6.25
Luke Donald,1.83,4.8
Justin Thomas,4.42,2.05
Brooks Koepka,4.07,2.0
William McGirt,3.82,2.2
Jason Dufner,3.55,2.4
Lydia Ko,2.69,3.25
Kevin Kisner,3.71,2.2
J.B. Holmes,3.46,2.4
Kevin Chappell,5.1,0.7
Bill Haas,2.77,2.6
Kevin Na,3.63,1.65
Padraig Harrington,1.3,4.0
