Unnamed: 0,Amsterdam,The Hague,Rotterdam,Utrecht
Dec '14,3380,2190,1980,2740
Jan '15,3240,2170,1970,2730
Feb '15,3210,2170,1960,2740
Mar '15,3210,2170,1970,2760
Apr '15,3260,2180,1970,2780
May '15,3320,2200,1970,2790
Jun '15,3390,2200,1960,2800
Jul '15,3360,2220,1950,2800
Aug '15,3340,2200,1950,2820
Sep '15,3400,2210,1950,2820
Oct '15,3440,2200,1960,2780
Nov '15,3450,2190,1960,2780
Dec '15,3490,2200,1960,2760
Jan '16,3720,2210,1960,2780
Feb '16,3860,2250,1960,2810
Mar '16,3960,2250,1960,2820
Apr '16,4090,2270,1970,2920
May '16,4230,2290,1970,2950
Jun '16,4340,2340,1990,2990
Jul '16,4380,2360,1990,3020
Aug '16,4290,2350,1990,3010
Sep '16,4480,2390,2070,3020
Oct '16,4710,2380,2080,3060
Nov '16,4770,2410,2100,3110
Dec '16,4930,2400,2120,3120
