Unnamed: 0,Advertising agencies,Public relations agencies,Direct mail advertising,Outdoor advertising,Media representatives,Media buying agencies,Advertising material distribution,Other services related to advertising
2017,13737,8469,2508,2640,1298,991,720,7650
2016,13800,8484,2545,2556,1566,939,929,7476
2015,13356,8470,2648,2542,1509,919,896,7172
2014,13279,8311,2691,2631,1493,936,847,7294
2013,13101,8317,2827,2706,1507,948,827,7447
2012,13167,8084,2979,2668,1557,974,852,7752
2011,13269,8204,2982,2440,1742,1041,1026,7117
2010,13248,8219,3088,2378,1775,946,998,7683
2009,13706,7892,3191,2495,1804,945,1035,7942
2008,14312,7964,3386,2649,1957,966,983,8317
2007,14355,7728,3484,2686,1952,939,859,8441
