Unnamed: 0,North America,Caribbean & Latin America,Europe*,United Kingdom*,Middle East & Africa,Asia Pacific,Overall worldwide
2010,142.85,178.59,161.63,159.27,133.18,125.88,150.46
2011,150.0,183.64,175.2,-,141.22,137.8,158.15
2012,157.05,190.75,170.72,-,133.14,133.01,162.39
2013,163.24,209.79,172.01,-,147.63,142.76,185.74
2014,173.11,239.95,193.2,-,190.6,176.48,178.96
2015,179.53,248.05,173.07,-,181.16,153.83,178.46
2016,194.64,213.99,173.84,-,164.9,149.8,177.11
2017,195.15,196.31,188.69,-,161.95,137.85,-
2018,198.66,202.84,205.15,-,154.17,146.14,182.67
2019,202.75,203.23,200.21,-,156.43,141.38,182.6
