Unnamed: 0,UK,Continental Europe,US & Canada,"AsiaPac, LatAm & MEA"
Q4 2018/19,369£,419£,233£,180£
Q3 2018/19,360£,424£,246£,172£
Q2 2018/19,373£,421£,237£,154£
Q1 2018/19,369£,408£,228£,142£
Q4 2017/18,381£,455£,243£,164£
Q3 2017/18,380£,470£,255£,161£
Q2 2017/18,382£,469£,254£,159£
Q1 2017/18,368£,458£,262£,156£
Q4 2016/17,416£,520£,302£,184£
Q3 2016/17,419£,502£,298£,179£
Q2 2016/17,419£,530£,294£,166£
Q1 2016/17,363£,479£,263£,145£
Q4 2015/16,412£,531£,282£,163£
Q3 2015/16,375£,481£,280£,171£
Q2 2015/16,368£,442£,268£,134£
Q1 2015/16,336£,436£,285£,139£
Q4 2014/15,397£,496£,320£,165£
Q3 2014/15,352£,511£,322£,140£
Q2 2014/15,365£,473£,304£,131£
Q1 2014/15,375£,483£,278£,117£
Q4 2013/14,883£,587£,222£,235£
Q3 2013/14,832£,552£,243£,220£
Q2 2013/14,756£,546£,242£,199£
Q1 2013/14,766£,559£,239£,188£
Q4 2012/13,905£,619£,249£,220£
Q3 2012/13,814£,552£,236£,197£
Q2 2012/13,833£,533£,250£,193£
Q1 2012/13,823£,552£,242£,174£
Q4 2011/12,915£,662£,217£,202£
Q3 2011/12,854£,644£,210£,187£
Q2 2011/12,961£,648£,218£,188£
Q1 2011/12,853£,652£,229£,172£
