Unnamed: 0,Samsung,Apple,Sony,Nokia,HTC,Blackberry
Jul' 15,43.1%,20.8%,8%,6%,5.9%,-
Mar' 15,44.9%,20.2%,7.8%,7.1%,6.2%,-
Feb '15,44.2%,20.6%,8.2%,7%,6.4%,-
Jun '14*,43%,20%,8%,8%,-,-
Sep '13,41%,19.4%,8.3%,10.4%,9%,1.6%
Jul '13,40.2%,19.3%,8.2%,11.4%,8.7%,1.5%
Jun '13,39.9%,19.5%,8.4%,11.4%,8.9%,1.7%
May '13,39.6%,20%,8.6%,11.6%,9.1%,1.7%
Mar '13,36.7%,21.5%,8.6%,12.7%,9.1%,1.6%
Feb '13,35.3%,22.1%,8.1%,13.3%,9.5%,1.8%
Jan '13,34.3%,21.3%,8.2%,14.2%,9.7%,2%
Dec '12,33.7%,21.8%,7.9%,15%,9.8%,1.9%
Nov '12,32.7%,21.4%,8.2%,16.2%,9.8%,2.1%
Oct '12,32%,21.2%,8.1%,16.9%,9.6%,2.2%
Sep '12,30.7%,20.9%,8.3%,17%,10%,2.4%
Aug '12,30%,21%,8%,18%,10%,2%
Jul '12,28%,22%,8%,19%,10%,2%
Jun '12,26%,22%,8%,20%,10%,2%
Mai '12,26%,22%,8%,21%,11%,3%
Apr '12,25%,22%,8%,22%,11%,3%
May '12,24%,22.4%,8.2%,21.6%,10.5%,2.8%
Feb '12,22.3%,22.6%,8%,23%,10.7%,3%
Jan '12,20.7%,22.7%,8.2%,24.3%,10.3%,3%
Dec '11,20.3%,22.2%,7.9%,25.1%,10.9%,3.3%
Nov '11,19.1%,21.6%,7.8%,26.6%,10.8%,3.3%
Oct '11,18.2%,21.3%,7.8%,27.6%,11.1%,3.4%
Sep '11,16.3%,21.8%,7.3%,29.6%,10.7%,3.5%
Aug '11,15.3%,21.7%,7.1%,31%,10.9%,3.5%
Jul '11,13.9%,22%,7%,32.1%,11%,3.7%
Jun '11,12.9%,21.3%,7.6%,33.1%,11.4%,3.6%
May '11,11.9%,21%,7.6%,34.4%,11%,4.2%
Apr '11,11%,20.5%,7.3%,36%,11.1%,4.2%
Mar '11,11%,20.8%,6.6%,37.1%,10.4%,4.5%
