Unnamed: 0,England,Italy,Germany,Spain,France
19/20**,5940,2570,3720,3790,1930
18/19**,5730,2520,3470,3420,1860
17/18,5440,2217,3168,3073,1692
16/17,5301,2062,2793,2865,1643
15/16,4865,1917,2712,2437,1485
14/15,4403,1790,2392,2053,1418
13/14,3897,1700,2275,1933,1498
12/13,2946,1677,2018,1868,1297
11/12,2900,1600,1900,1800,1100
10/11,2515,1553,1746,1718,1040
09/10,2479,1532,1664,1644,1072
08/09,2326,1494,1575,1501,1048
07/08,2441,1421,1438,1438,989
06/07,2273,1064,1379,1326,972
05/06,1995,1277,1195,1158,910
04/05,1975,1219,1236,1029,696
03/04,1977,1052,1058,953,655
02/03,1791,1024,1108,847,689
01/02,1747,1017,1043,776,643
00/01,1557,1027,880,676,644
99/00,1219,954,681,722,607
98/99,1024,714,577,612,393
97/98,895,650,569,513,323
96/97,685,551,444,524,293
