Unnamed: 0,Africa,South and Central America,Middle East,Europe,North America,Asia Pacific,Commonwealth of Independent States
2018,1235.5,1261.5,2118.3,4209.3,6035.6,16274.1,2100.5
2017,1207.0,1279.2,2078.7,4278.7,5920.5,16274.3,2001.3
2016,1192.1,1294.7,2061.5,4247.3,5938.3,15984.0,1997.4
2015,1174.5,1321.7,2019.5,4191.6,6048.7,15877.0,1986.8
2014,1167.1,1331.3,1965.2,4202.0,6268.9,15787.7,2027.6
2013,1134.4,1308.9,1926.3,4436.9,6167.0,15660.2,2014.7
2012,1107.1,1262.0,1853.3,4541.5,5998.9,15308.8,2063.2
2011,1073.7,1215.5,1789.0,4615.2,6262.8,14860.1,2035.2
2010,1072.1,1164.2,1736.2,4705.8,6375.8,13986.8,1939.1
2009,1041.9,1093.1,1656.5,4616.4,6139.9,13246.6,1875.7
2008,1028.0,1132.6,1620.5,4965.7,6600.4,12954.7,1993.0
