Unnamed: 0,2009,2010,2011
Estonia,59.2%,59.1%,59.7%
Slovenia,53.6%,55.7%,56.8%
Bulgaria,53.4%,54.1%,56.1%
France,53.7%,55%,-
Sweden,54.4%,54.2%,54.3%
Belgium,45.5%,46.2%,49.2%
Denmark,46.8%,47.3%,49%
United Kingdom,46.3%,46.9%,47.3%
Netherlands,43.3%,44.3%,45.3%
Latvia,43.5%,44.1%,44.6%
Portugal,38.1%,41.3%,42.8%
Hungary,40.8%,40.8%,42.3%
Czech Republic,38.8%,40.3%,41.8%
Finland,40.9%,41.1%,40.9%
Austria,39.3%,40.1%,40.4%
Luxembourg,32.1%,34%,34.1%
Slovakia,31.6%,33%,34%
Germany,32.7%,33.3%,33.9%
Spain,34.5%,35.5%,33.8%
Ireland,33.3%,33.8%,33.7%
Lithuania,27.9%,28.7%,30%
Romania,28%,27.7%,30%
Italy,19.8%,21.5%,26.3%
Malta,27.4%,25.2%,22.7%
Poland,20.2%,20.6%,21.2%
Zyprus,11.7%,15.2%,16.9%
Greece,6.6%,7.3%,7.4%
