Unnamed: 0,BT Global Services,BT Business,BT Wholesale,Openreach,BT Consumer,EE,Other
Q1 2012/13,1731,849,678,1270,959,-,19
Q2 2012/13,1757,870,616,1283,952,-,19
Q3 2012/13,1748,875,645,1286,953,-,21
Q4 2012/13,1934,922,669,1276,982,-,42
Q1 2013/14,1752,785,638,1245,950,-,18
Q2 2013/14,1743,799,624,1271,987,-,18
Q3 2013/14,1847,808,589,1274,1014,-,14
Q4 2013/14,1927,821,571,1271,1068,-,32
Q1 2014/15,1647,762,525,1245,1046,-,19
Q2 2014/15,1649,789,529,1245,1056,-,16
Q3 2014/15,1847,808,589,1274,1014,-,14
Q4 2014/15,1789,805,571,1266,1100,-,18
Q1 2015/16,1543,749,530,1249,1074,-,16
Q2 2015/16,1599,781,520,1267,1127,-,19
Q3 2015/16,1675,779,527,1294,1205,-,21
Q4 2015/16,1753,821,509,1290,1192,-,17
Q1 2016/17,1250,1165,453,1236,1175,1243,3
Q2 2016/17,1409,1178,440,1232,1251,1277,1
Q3 2016/17,1399,1195,448,1258,1262,1311,2
Q4 2016/17,1422,1220,454,1258,1246,1259,4
Q1 2017/18,1246,1648,429,1287,2539,1291,2
Q2 2017/18,1265,1680,430,1299,2580,1326,4
Q3 2017/18,1265,1681,425,1379,2653,1357,2
Q4 2017/18,1243,1708,424,1320,2543,1320,2
Q1 2018/19,1147,1588,459,1255,2570,-,1
Q2 2018/19,1185,1633,470,1293,2654,-,1
Q3 2018/19,1202,1583,-,1256,2757,-,2
Q4 2018/19,1201,1592,-,1271,2610,-,1
Q1 2019/20,1085,1516,-,1268,2550,-,1
