Unnamed: 0,Apple iOS,Android,Windows tablet,Others
Q4 '19,13.5,29.1,5.8,0.2
Q3 '19,10.7,23.1,4.8,0.2
Q2 '19,10.7,21.6,5,0.1
Q1 '19,9.9,21.6,5,0.1
Q4 '18,14.5,32.9,7.1,0.4
Q3 '18,9.7,24.3,5.7,-
Q2 '18,11.6,23.3,5.5,-
Q1 '18,9.1,23.9,5.7,-
Q4 '17,13.2,34.8,7.3,-
Q3 '17,10.3,27.8,6.7,0
Q2 '17,11.4,26.4,6,0
Q1 '17,8.9,26.9,6.3,0
Q4 '16,13.1,40.3,10.1,0
Q3 '16,9.3,30.1,7.3,0
Q2 '16,10.0,30.1,6.7,0
Q1 '16,10.3,30.1,6.4,0
Q4 '15,16.1,44.9,8.5,0
Q3 '15,9.9,36.0,5.8,0
Q2 '15,10.9,35.2,4.6,0
Q1 '15,12.6,35.7,3.4,0
Q4 '14,21.4,51.8,5.1,0
Q3 '14,12.3,39.8,3.2,0
Q2 '14,13.3,36.8,2.7,0
Q1 '14,16.4,37.2,3.1,0
Q4 '13,26.0,47.8,3.4,0
Q2 '13,14.6,33.2,2.1,0.1
Q1 '13,19.5,25.6,2.8,0.4
Q4 '12,22.9,38.9,-,2.4
Q3 '12,14.0,10.2,-,0.5
Q2 '12,17.0,18.5,-,0.5
Q1 '12,11.8,6.4,-,0.5
Q4 '11,15.4,10.5,-,0.9
Q3 '11,11.1,5.0,-,1.1
Q2 '11,9.3,4.4,-,1.3
Q4 '10,7.3,3.1,-,0.3
Q3 '10,4.2,0.1,-,0.1
Q2 '10,3.3,0.1,-,0.1
