Unnamed: 0,Equal share payments,Merit Payment*,Facility Fees*
Liverpool FC,79.4,36.1,33.5
Manchester City,79.4,38.0,30.1
Chelsea FC,79.4,34.2,29.0
Tottenham Hotspur,79.4,32.3,30.1
Manchester United,79.4,28.5,31.2
Arsenal FC,79.4,30.4,29.0
Everton FC,79.4,24.7,21.2
Wolverhampton Wanderers,79.4,26.6,17.9
Leicester City,79.4,22.8,17.9
West Ham United,79.4,20.9,19.0
Newcastle United,79.4,15.2,22.3
Crystal Palace,79.4,17.1,14.6
Watford FC,79.4,19.0,12.3
AFC Bournemouth,79.4,13.3,12.3
Burnley FC,79.4,11.4,13.5
Brighton & Hove Albion,79.4,7.6,15.7
Southampton FC,79.4,9.5,12.3
Cardiff City,79.4,5.7,14.6
Fulham FC,79.4,3.8,15.7
Huddersfield Town,79.4,1.9,12.3
