Unnamed: 0,2018,2008
Hungary,65.09%,43.7%
Poland,51.18%,32.1%
Cyprus,35.38%,31.1%
Lithuania,32.83%,29.04%
Austria,26%,28.24%
Estonia,32.9%,26.1%
Bulgaria,32.65%,26%
Netherlands,22.2%,22.49%
Greece,54.6%,17%
Belgium,4.09%,16.02%
Denmark,21.1%,13.9%
France,27.09%,13.82%
Finland,24.78%,12.9%
Czechia,49.6%,12.81%
Slovakia,34.34%,11.7%
Germany,21.98%,10.3%
Sweden,18.58%,8.78%
Portugal,9.38%,8.34%
Italy,50.03%,8.3%
Ireland,17.7%,8.03%
Latvia,6.85%,7%
Slovenia,8.2%,5.4%
Spain,21.15%,3.77%
Romania,9.98%,3.15%
United Kingdom,1.8%,2.2%
Luxembourg,4.94%,1.9%
Croatia,6.49%,1.8%
