Unnamed: 0,Tesco,Sainsbury's,Asda,Morrisons,Aldi,The Cooperative,Lidl,Waitrose,Iceland,Symbols and Independent,Other Multiples,Ocado
Jan 15,29%,16.7%,16.9%,11.1%,4.9%,5.9%,3.5%,5.2%,2.2%,1.9%,2.7%,-
Feb 15,28.7%,16.8%,17%,11%,5%,5.9%,3.5%,5.2%,2.2%,2%,2.8%,-
Mar 15,28.4%,16.4%,17.1%,10.9%,5.3%,6%,3.7%,5.1%,2.1%,2.1%,2.9%,-
Apr 15,28.4%,16.5%,16.9%,10.9%,5.4%,6%,3.8%,5.1%,2.1%,2%,2.9%,-
May 15,28.6%,16.5%,16.6%,10.9%,5.4%,6%,3.9%,5.2%,2.1%,2%,2.8%,-
Jun 15,28.6%,16.5%,16.5%,11%,5.5%,6.2%,3.9%,5.1%,2%,2.1%,2.8%,-
Jul 15,28.5%,16.5%,16.4%,10.9%,5.6%,6.3%,4%,5%,2%,2.1%,2.8%,-
Aug 15,28.3%,16.3%,16.6%,10.8%,5.6%,6.4%,4.1%,5.1%,2%,2.1%,2.8%,-
Sep 15,28.2%,16.2%,16.7%,10.7%,5.6%,6.4%,4.2%,5.2%,2%,2.1%,2.8%,-
Oct 15,28.1%,16.1%,16.6%,10.8%,5.6%,6.4%,4.3%,5.2%,2%,2.1%,2.9%,-
Nov 15,27.9%,16.6%,16.4%,10.8%,5.6%,6.3%,4.4%,5.2%,1.9%,2%,2.8%,-
Dec 15,28%,16.7%,16.2%,11%,5.6%,6.2%,4.4%,5.1%,2%,2%,2.8%,-
Feb 16,28.4%,16.8%,16.2%,10.6%,5.8%,6%,4.2%,5.2%,2.1%,1.9%,3%,-
Mar 16,28.1%,16.4%,16.2%,10.5%,6%,6.1%,4.4%,5.1%,2%,2%,3.2%,-
Apr 16,28%,16.5%,16%,10.6%,6%,6.2%,4.4%,5.2%,2%,1.9%,3.2%,-
May 16,28.3%,16.2%,15.8%,10.7%,6%,6.2%,4.4%,5.3%,2.1%,1.9%,3.1%,-
Jun 16,28.2%,16.3%,15.6%,10.8%,6.1%,6.3%,4.4%,5.2%,2.1%,1.9%,3.1%,-
Jul 16,28.3%,16.3%,15.5%,10.7%,6.2%,6.4%,4.5%,5.1%,2.1%,1.9%,3.1%,-
Aug 16,28.1%,16.1%,15.7%,10.6%,6.2%,6.6%,4.5%,5.1%,2.1%,2%,3.1%,-
Sep 16,28.1%,15.9%,15.7%,10.4%,6.2%,6.6%,4.6%,5.3%,2.1%,1.9%,3.1%,-
Oct 16,28.2%,16%,15.6%,10.4%,6.2%,6.5%,4.6%,5.4%,2.1%,1.9%,3.1%,-
Nov 16,28.2%,16.3%,15.5%,10.5%,6.1%,6.4%,4.6%,5.3%,2.1%,1.9%,3%,-
Dec 16,28.3%,16.5%,15.3%,10.8%,6.2%,6.3%,4.6%,5.1%,2.2%,1.8%,3%,-
Jan 17,28.1%,16.5%,15.6%,10.9%,6.2%,6%,4.5%,5.3%,2.3%,1.8%,2.9%,-
Feb 17,27.9%,16.5%,15.7%,10.6%,6.3%,5.9%,4.6%,5.3%,2.2%,1.9%,3%,-
Mar 17,27.6%,16.1%,15.7%,10.4%,6.8%,6.1%,4.9%,5.1%,2.2%,2%,3.2%,-
Apr 17,27.6%,16.2%,15.6%,10.5%,6.9%,6.1%,5%,5.2%,2.1%,2%,2.9%,-
May 17,27.8%,15.9%,15.4%,10.5%,7%,6.1%,5%,5.2%,2.2%,2%,2.9%,-
Jun 17,27.9%,16%,15.2%,10.7%,6.9%,6.1%,5%,5.2%,2.2%,2%,2.9%,-
Jul 17,27.9%,16%,15.1%,10.5%,7%,6.2%,5.1%,5.1%,2.1%,2%,2.9%,-
Aug 17,27.9%,15.9%,15.3%,10.4%,7%,6.3%,5.2%,5.1%,2.1%,1.9%,2.8%,-
Sep 17,27.9%,15.8%,15.4%,10.3%,7%,6.3%,5.3%,5.3%,2.1%,1.9%,2.8%,-
Oct 17,28%,15.8%,15.5%,10.3%,6.8%,6.2%,5.2%,5.3%,2.1%,1.8%,2.9%,-
Nov 17,28.1%,16.3%,15.3%,10.4%,6.7%,6.1%,5.1%,5.3%,2%,1.8%,2.8%,-
Dec 17,28.2%,16.4%,15%,10.6%,6.9%,6%,5.1%,5%,2.2%,1.7%,2.8%,-
Jan 18,27.9%,16.3%,15.5%,10.8%,7%,5.8%,5%,5.2%,2.3%,1.6%,2.7%,-
Feb 18,27.9%,16.2%,15.6%,10.6%,7%,5.8%,5.1%,5.2%,2.2%,1.7%,2.9%,-
Mar 18,27.6%,15.8%,15.6%,10.4%,7.3%,6%,5.3%,5%,2.1%,1.7%,2.9%,-
Apr 18,27.6%,15.9%,15.5%,10.5%,7.3%,6%,5.4%,5.1%,2.1%,1.8%,3%,-
May 18,27.7%,15.7%,15.4%,10.5%,7.3%,6%,5.4%,5.1%,2.1%,1.8%,3%,-
Jun 18,27.7%,15.6%,15.1%,10.6%,7.4%,6.2%,5.4%,5.1%,2.2%,1.8%,3%,-
Jul 18,27.6%,15.6%,15.1%,10.5%,7.5%,6.4%,5.4%,5%,2.1%,1.8%,3%,-
Aug 18,27.4%,15.5%,15.2%,10.4%,7.6%,6.6%,5.5%,5%,2.1%,1.8%,3%,-
Sep 18,27.4%,15.4%,15.3%,10.2%,7.6%,6.6%,5.5%,5.1%,2.1%,1.7%,3%,-
Oct 18,27.4%,15.4%,15.3%,10.3%,7.6%,6.4%,5.6%,5.2%,2.1%,1.7%,3%,-
Nov 18,27.5%,15.8%,15.3%,10.3%,7.6%,6.3%,5.5%,5.1%,2.1%,1.6%,2.9%,-
Dec 18,27.6%,16%,15%,10.5%,7.6%,6.2%,5.6%,4.9%,2.2%,1.6%,2.9%,-
Jan 19,27.7%,15.9%,15.3%,10.6%,7.5%,5.9%,5.3%,5.1%,2.3%,1.5%,3.6%,-
Feb 19,27.7%,15.7%,15.5%,10.5%,7.6%,5.9%,5.2%,5.2%,2.2%,1.6%,3%,-
Mar 19,27.4%,15.3%,15.4%,10.3%,8%,6.1%,5.6%,5%,2.1%,1.7%,3.1%,-
Apr 19,27.3%,15.4%,15.3%,10.3%,7.9%,6.1%,5.7%,5%,2.1%,1.7%,1.8%,1.4%
May 19,27.3%,15.2%,15.2%,10.4%,8%,6.1%,5.8%,5.1%,2.1%,1.7%,1.9%,1.4%
Jun 19,27.3%,15.3%,14.9%,10.4%,7.9%,6.2%,5.7%,5%,2.1%,1.7%,1.9%,1.4%
Jul 19,27.2%,15.3%,14.9%,10.3%,8.1%,6.4%,5.8%,5%,2.1%,1.7%,1.9%,1.4%
Aug 19,27%,15.4%,14.9%,10.1%,8.1%,6.6%,5.9%,4.9%,2.1%,1.7%,1.9%,1.4%
Sep 19,26.9%,15.3%,15.1%,9.9%,8.1%,6.6%,6%,5%,2.1%,1.7%,1.9%,1.4%
Oct 19,27%,15.3%,15%,9.9%,8.1%,6.6%,6%,5.1%,2.1%,1.8%,1.9%,1.4%
Nov 19,27%,15.6%,15%,10%,8%,6.5%,5.9%,5%,2.1%,1.8%,1.8%,1.4%
Dec 19,27.3%,15.7%,14.6%,10.1%,8%,6.3%,6.1%,4.8%,2.2%,1.7%,1.7%,1.4%
Dec 19*,27.4%,16%,14.8%,10.3%,7.8%,6.1%,5.9%,5%,2.3%,1.6%,1.6%,1.3%
Jan 20,27.3%,15.8%,14.9%,10.3%,7.9%,6%,5.9%,5%,2.3%,1.6%,1.7%,1.4%
