Unnamed: 0,"Yes, I believe","No, I don’t"
Finding and picking up a penny is good luck,33%,67%
It’s bad luck for the groom to see the bride before the wedding,24%,76%
Seven is a lucky number,23%,77%
Knocking on wood prevents bad luck,21%,79%
It’s unlucky to walk under a ladder,20%,80%
Opening an umbrella indoors is bad luck,14%,86%
Friday the 13th is an unlucky day,14%,86%
Breaking a mirror brings seven years bad luck,14%,86%
Throwing spilled salt over the left shoulder prevents bad luck,13%,87%
A black cat crossing your path is bad luck,13%,87%
13 is an unlucky number,12%,88%
Stepping on a crack is bad luck,7%,93%
