Category,2015,2016
Creative Data Lions,619,715
Creative Effectiveness Lions,160,109
Cyber Lions,3738,2886
Design Lions,2409,2857
Digital Craft Lions,-,1150
Direct Lions,2813,3097
Entertainment Lions,1394,1843
Entertainment Lions for Music,-,637
Film Lions,3070,2801
Film Craft Lions,2205,2315
Glass: The Lion for Change,166,155
Health and Wellness Lions,1430,2024
Innovation Lions,226,381
Integrated Lions,-,279
Media Lions,3179,2986
Mobile Lions,1246,1259
Outdoor Lions,5037,5365
Pharma Lions,432,583
PR Lions,1969,2224
Print & Publishing Lions,4470,3775
Product Design Lions,280,538
Promo & Activation Lions,3196,3458
Radio Lions,1720,1410
Titanium Lions,374,254
TOTAL,40133,43101
