Unnamed: 0,TV,Newspapers,Outdoor/transport,Internet,Magazines,Cinema,Radio
2018**,1295.0,52.0,38.5,35.0,32.0,2.6,2.4
2017**,1177.0,52.0,36.0,30.0,32.0,2.3,2.1
2016**,1070.0,52.0,33.5,25.0,32.0,2.0,2.0
2015*,969.0,52.0,31.0,20.0,32.0,1.7,1.9
2014*,870.0,52.0,28.5,15.0,32.0,1.5,1.8
2013,762.0,55.0,26.0,12.0,38.0,1.2,1.7
2012,573.0,54.0,24.5,9.0,40.0,0.9,1.2
2011,469.0,60.1,23.0,6.0,41.7,0.6,1.4
2010,436.0,60.5,20.0,3.0,37.0,0.3,1.4
2009,398.2,62.1,20.3,0.8,37.9,0.3,1.6
2008,331.1,66.7,25.4,0.6,36.3,0.2,1.4
2007,284.4,62.9,23.9,0.5,27.2,0.2,1.1
2006,239.6,54.0,23.3,0.5,24.3,0.2,0.7
2005,162.5,43.3,20.2,0.4,20.9,0.2,0.6
2004,166.4,51.0,18.0,0.3,26.5,1.0,0.6
