Unnamed: 0,2011,2012,2013,2014,2015,2016,2017,2018
FC Bayern München,493,786,860,896,933,867,1222,1406
Borussia Dortmund,125,227,260,327,326,280,519,587
FC Schalke 04,135,266,259,313,302,223,338,384
RasenBallsport Leipzig*,-,-,-,-,-,-,145,347
Bayer 04 Leverkusen*,-,64,90,116,135,175,332,273
VfL Wolfsburg*,-,66,82,91,116,119,256,266
Borussia Mönchengladbach*,-,-,-,-,86,173,208,262
Eintracht Frankfurt*,-,-,-,-,-,-,140,172
1899 Hoffenheim*,-,-,-,-,-,-,194,166
Hertha BSC Berlin*,-,55,-,-,-,123,159,165
SV Werder Bremen,68,68,79,94,88,110,155,156
FC Augsburg,-,-,-,-,-,-,-,133
FSV Mainz 05*,-,-,-,-,-,92,-,123
Hamburger SV,134,153,144,138,103,152,163,-
1.FC Köln*,-,-,-,-,-,-,162,-
VfB Stuttgart,81,71,83,102,121,95,171,-
