Unnamed: 0,Motor,Property,General liability,Other non-life,MAT
2025*,23697,19246,7108,6770,4201
2024*,22335,18140,6699,6380,3959
2023*,21050,17097,6314,6014,3732
2022*,19840,16114,5951,5668,3517
2021*,18699,15187,5609,5342,3315
2020*,17624,14314,5286,5035,3124
2019*,16919,13741,5075,4833,2999
2018*,16248,13197,4873,4642,2880
2017*,15600,12670,4679,4457,2765
2016*,15001,12183,4499,4285,2659
2015*,14467,11750,4339,4133,2565
2014*,13961,11339,4188,3988,2475
2013,13378,10865,4012,3822,2372
2012,13845,10551,4458,3536,2660
2011,14306,10630,4485,3727,2872
2010,12976,10609,4568,3838,2810
2009,11720,10282,4635,3395,2602
